N,C,H,W,pad,fK,fH,fW,fRank,ns
1,16,32,32,1,16,3,3,1,20832
1,16,32,32,1,16,3,3,2,29088
1,16,32,32,1,16,3,3,4,44896
1,16,32,32,1,16,3,3,8,76672
1,16,32,32,1,16,3,3,16,140288
1,16,32,32,1,16,3,3,32,270624
1,16,32,32,1,16,3,3,64,601984
1,16,32,32,1,16,3,3,128,2.29082e+06
1,3,32,32,1,1,3,3,1,6848
1,3,64,64,1,1,3,3,1,7264
1,3,128,128,1,1,3,3,1,8704
1,3,256,256,1,1,3,3,1,26432
1,3,512,512,1,1,3,3,1,91328
1,3,1024,1024,1,1,3,3,1,353696
1,3,2048,2048,1,1,3,3,1,1.38077e+06
1,3,4096,4096,1,1,3,3,1,5.49795e+06
1,3,512,512,1,1,3,3,1,91968
1,3,512,512,1,2,3,3,1,174144
1,3,512,512,1,4,3,3,1,334880
1,3,512,512,1,8,3,3,1,659040
1,3,512,512,1,16,3,3,1,1.30301e+06
1,3,512,512,1,32,3,3,1,2.5888e+06
1,3,512,512,1,64,3,3,1,5.15658e+06
1,3,512,512,1,128,3,3,1,1.02992e+07
1,1,512,512,1,1,3,3,1,50144
1,2,512,512,1,1,3,3,1,58272
1,4,512,512,1,1,3,3,1,99936
1,8,512,512,1,1,3,3,1,182208
1,16,512,512,1,1,3,3,1,344896
1,32,512,512,1,1,3,3,1,673472
1,64,512,512,1,1,3,3,1,1.33885e+06
1,128,512,512,1,1,3,3,1,2.65936e+06
1,3,512,512,1,1,3,3,1,91840
1,3,512,512,2,1,5,5,1,122368
1,3,512,512,3,1,7,7,1,156224
1,3,512,512,4,1,9,9,1,195680
1,3,512,512,5,1,11,11,1,261856
1,3,512,512,6,1,13,13,1,305152
1,3,512,512,7,1,15,15,1,369952
1,3,512,512,8,1,17,17,1,435168
1,1,32,32,1,1,3,3,1,4768
2,1,32,32,1,1,3,3,1,4768
4,1,32,32,1,1,3,3,1,4800
8,1,32,32,1,1,3,3,1,4928
16,1,32,32,1,1,3,3,1,5248
32,1,32,32,1,1,3,3,1,8544
64,1,32,32,1,1,3,3,1,14368
128,1,32,32,1,1,3,3,1,25216
