N,C,H,W,pad,fK,fH,fW,fRank,ms
1,1,32,32,1,1,3,3,1,0.00887421
2,2,64,64,1,2,3,3,1,0.00991523
3,4,128,128,1,4,3,3,1,0.0210506
4,8,256,256,1,8,3,3,1,0.14209
5,16,512,512,1,16,3,3,1,1.34465
5,32,1024,1024,1,32,3,3,1,9.03047
1,1,32,32,1,1,3,3,2,0.00625838
2,2,64,64,1,2,3,3,2,0.00715098
4,4,128,128,1,4,3,3,2,0.0172099
8,8,256,256,1,8,3,3,2,0.227171
16,16,512,512,1,16,3,3,2,3.47423
1,1,32,32,1,1,3,3,4,0.00606638
2,2,64,64,1,2,3,3,4,0.00757106
4,4,128,128,1,4,3,3,4,0.0183707
8,8,256,256,1,8,3,3,4,0.234751
16,16,512,512,1,16,3,3,4,3.68701
1,1,32,32,1,1,3,3,8,0.00624
2,2,64,64,1,2,3,3,8,0.0077937
4,4,128,128,1,4,3,3,8,0.023537
8,8,256,256,1,8,3,3,8,0.281792
16,16,512,512,1,16,3,3,8,4.34505
1,1,32,32,1,1,3,3,16,0.00762894
2,2,64,64,1,2,3,3,16,0.0108317
4,4,128,128,1,4,3,3,16,0.0536483
8,8,256,256,1,8,3,3,16,0.715253
16,16,512,512,1,16,3,3,16,11.1174
