N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 49.0179
2,3,512,512,1,1,3,3,1, 100.055
4,3,512,512,1,1,3,3,1, 192.085
8,3,512,512,1,1,3,3,1, 375.23
16,3,512,512,1,1,3,3,1, 743.488
32,3,512,512,1,1,3,3,1, 1474.89
64,3,512,512,1,1,3,3,1, 2430.44
128,3,512,512,1,1,3,3,1, 4519.9
1,3,512,512,1,1,3,3,2, 45.6143
2,3,512,512,1,1,3,3,2, 82.1304
4,3,512,512,1,1,3,3,2, 153.101
8,3,512,512,1,1,3,3,2, 297.664
16,3,512,512,1,1,3,3,2, 586.486
32,3,512,512,1,1,3,3,2, 1163.01
64,3,512,512,1,1,3,3,2, 2317.95
128,3,512,512,1,1,3,3,2, 4632.86
1,3,512,512,1,1,3,3,4, 49.1084
2,3,512,512,1,1,3,3,4, 87.938
4,3,512,512,1,1,3,3,4, 166.125
8,3,512,512,1,1,3,3,4, 325.228
16,3,512,512,1,1,3,3,4, 644.086
32,3,512,512,1,1,3,3,4, 1280.09
64,3,512,512,1,1,3,3,4, 2547.66
128,3,512,512,1,1,3,3,4, 5092.63
1,3,512,512,1,1,3,3,8, 60.8926
2,3,512,512,1,1,3,3,8, 112.232
4,3,512,512,1,1,3,3,8, 211.419
8,3,512,512,1,1,3,3,8, 415.647
16,3,512,512,1,1,3,3,8, 824.429
32,3,512,512,1,1,3,3,8, 1637.06
64,3,512,512,1,1,3,3,8, 3259.57
128,3,512,512,1,1,3,3,8, 6510.54
1,3,512,512,1,1,3,3,16, 138
2,3,512,512,1,1,3,3,16, 261.903
4,3,512,512,1,1,3,3,16, 516.079
8,3,512,512,1,1,3,3,16, 1024.95
16,3,512,512,1,1,3,3,16, 2043.9
32,3,512,512,1,1,3,3,16, 4077.68
64,3,512,512,1,1,3,3,16, 8156.05
128,3,512,512,1,1,3,3,16, 16307.9
