N,C,H,W,pad,fK,fH,fW,fRank,us
1,1,512,512,1,1,3,3,1, 21.8894
1,2,512,512,1,1,3,3,1, 35.0455
1,3,512,512,1,1,3,3,1, 48.9219
1,4,512,512,1,1,3,3,1, 69.6831
1,8,512,512,1,1,3,3,1, 130.23
1,16,512,512,1,1,3,3,1, 252.185
1,32,512,512,1,1,3,3,1, 497.909
1,64,512,512,1,1,3,3,1, 991.498
1,128,512,512,1,1,3,3,1, 1941.14
1,1,512,512,1,1,3,3,2, 17.3569
1,2,512,512,1,1,3,3,2, 27.0243
1,3,512,512,1,1,3,3,2, 38.1147
1,4,512,512,1,1,3,3,2, 55.1632
1,8,512,512,1,1,3,3,2, 102.609
1,16,512,512,1,1,3,3,2, 198.883
1,32,512,512,1,1,3,3,2, 394.394
1,64,512,512,1,1,3,3,2, 788.289
1,128,512,512,1,1,3,3,2, 1582.27
1,1,512,512,1,1,3,3,4, 18.6036
1,2,512,512,1,1,3,3,4, 28.9443
1,3,512,512,1,1,3,3,4, 40.0592
1,4,512,512,1,1,3,3,4, 59.0795
1,8,512,512,1,1,3,3,4, 108.973
1,16,512,512,1,1,3,3,4, 210.962
1,32,512,512,1,1,3,3,4, 415.876
1,64,512,512,1,1,3,3,4, 834.699
1,128,512,512,1,1,3,3,4, 1679.48
1,1,512,512,1,1,3,3,8, 23.7433
1,2,512,512,1,1,3,3,8, 37.8696
1,3,512,512,1,1,3,3,8, 51.7917
1,4,512,512,1,1,3,3,8, 71.6364
1,8,512,512,1,1,3,3,8, 132.195
1,16,512,512,1,1,3,3,8, 252.965
1,32,512,512,1,1,3,3,8, 496.262
1,64,512,512,1,1,3,3,8, 982.414
1,128,512,512,1,1,3,3,8, 1957.61
1,1,512,512,1,1,3,3,16, 48.8211
1,2,512,512,1,1,3,3,16, 87.6827
1,3,512,512,1,1,3,3,16, 127.642
1,4,512,512,1,1,3,3,16, 175.016
1,8,512,512,1,1,3,3,16, 340.074
1,16,512,512,1,1,3,3,16, 665.867
1,32,512,512,1,1,3,3,16, 1319.77
1,64,512,512,1,1,3,3,16, 2624.18
1,128,512,512,1,1,3,3,16, 5279.29
