N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 49.487
1,3,512,512,1,2,3,3,1, 57.6463
1,3,512,512,1,4,3,3,1, 57.6238
1,3,512,512,1,8,3,3,1, 61.9146
1,3,512,512,1,16,3,3,1, 78.5804
1,3,512,512,1,32,3,3,1, 133.013
1,3,512,512,1,64,3,3,1, 249.213
1,3,512,512,1,128,3,3,1, 539.906
1,3,512,512,1,1,3,3,2, 52.8633
1,3,512,512,1,2,3,3,2, 58.1501
1,3,512,512,1,4,3,3,2, 59.4158
1,3,512,512,1,8,3,3,2, 63.4723
1,3,512,512,1,16,3,3,2, 80.0102
1,3,512,512,1,32,3,3,2, 133.243
1,3,512,512,1,64,3,3,2, 238.255
1,3,512,512,1,128,3,3,2, 511.357
1,3,512,512,1,1,3,3,4, 56.4071
1,3,512,512,1,2,3,3,4, 61.5081
1,3,512,512,1,4,3,3,4, 62.8848
1,3,512,512,1,8,3,3,4, 69.2746
1,3,512,512,1,16,3,3,4, 80.209
1,3,512,512,1,32,3,3,4, 131.18
1,3,512,512,1,64,3,3,4, 230.666
1,3,512,512,1,128,3,3,4, 490.864
1,3,512,512,1,1,3,3,8, 51.6296
1,3,512,512,1,2,3,3,8, 58.9277
1,3,512,512,1,4,3,3,8, 61.0328
1,3,512,512,1,8,3,3,8, 67.4798
1,3,512,512,1,16,3,3,8, 78.1066
1,3,512,512,1,32,3,3,8, 127.115
1,3,512,512,1,64,3,3,8, 228.725
1,3,512,512,1,128,3,3,8, 504.793
1,3,512,512,1,1,3,3,16, 127.861
1,3,512,512,1,2,3,3,16, 136.953
1,3,512,512,1,4,3,3,16, 142.224
1,3,512,512,1,8,3,3,16, 153.904
1,3,512,512,1,16,3,3,16, 180.713
1,3,512,512,1,32,3,3,16, 240.115
1,3,512,512,1,64,3,3,16, 375.169
1,3,512,512,1,128,3,3,16, 664.15
