N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 50.3585
1,3,512,512,2,1,5,5,1, 81.92
1,3,512,512,3,1,7,7,1, 134.143
1,3,512,512,4,1,9,9,1, 200.423
1,3,512,512,5,1,11,11,1, 286.851
1,3,512,512,6,1,13,13,1, 384.78
1,3,512,512,7,1,15,15,1, 500.185
1,3,512,512,8,1,17,17,1, 621.549
1,3,512,512,1,1,3,3,2, 49.5285
1,3,512,512,2,1,5,5,2, 81.5939
1,3,512,512,3,1,7,7,2, 132.993
1,3,512,512,4,1,9,9,2, 198.913
1,3,512,512,5,1,11,11,2, 284.494
1,3,512,512,6,1,13,13,2, 373.774
1,3,512,512,7,1,15,15,2, 363.48
1,3,512,512,8,1,17,17,2, 455.178
1,3,512,512,1,1,3,3,4, 40.4834
1,3,512,512,2,1,5,5,4, 62.8466
1,3,512,512,3,1,7,7,4, 102.222
1,3,512,512,4,1,9,9,4, 162.798
1,3,512,512,5,1,11,11,4, 227.195
1,3,512,512,6,1,13,13,4, 305.324
1,3,512,512,7,1,15,15,4, 390.371
1,3,512,512,8,1,17,17,4, 495.564
1,3,512,512,1,1,3,3,8, 51.6616
1,3,512,512,2,1,5,5,8, 118.459
1,3,512,512,3,1,7,7,8, 193.249
1,3,512,512,4,1,9,9,8, 303.985
1,3,512,512,5,1,11,11,8, 435.211
1,3,512,512,6,1,13,13,8, 1002.36
1,3,512,512,7,1,15,15,8, 1432.17
1,3,512,512,8,1,17,17,8, 1622.75
1,3,512,512,1,1,3,3,16, 127.668
1,3,512,512,2,1,5,5,16, 250.111
1,3,512,512,3,1,7,7,16, 680.009
1,3,512,512,4,1,9,9,16, 1075.58
1,3,512,512,5,1,11,11,16, 1565.06
1,3,512,512,6,1,13,13,16, 2145.65
1,3,512,512,7,1,15,15,16, 2818.43
1,3,512,512,8,1,17,17,16, 3589.43
