N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,32,32,1,1,3,3,1, 9.2337
1,3,64,64,1,1,3,3,1, 9.43455
1,3,128,128,1,1,3,3,1, 10.1052
1,3,256,256,1,1,3,3,1, 17.3365
1,3,512,512,1,1,3,3,1, 48.8776
1,3,1024,1024,1,1,3,3,1, 192.633
1,3,2048,2048,1,1,3,3,1, 758.753
1,3,4096,4096,1,1,3,3,1, 3022.41
1,3,32,32,1,1,3,3,2, 9.14247
1,3,64,64,1,1,3,3,2, 8.10621
1,3,128,128,1,1,3,3,2, 10.3653
1,3,256,256,1,1,3,3,2, 13.6987
1,3,512,512,1,1,3,3,2, 37.1418
1,3,1024,1024,1,1,3,3,2, 153.119
1,3,2048,2048,1,1,3,3,2, 606.199
1,3,4096,4096,1,1,3,3,2, 2428.29
1,3,32,32,1,1,3,3,4, 7.89583
1,3,64,64,1,1,3,3,4, 8.02859
1,3,128,128,1,1,3,3,4, 8.68357
1,3,256,256,1,1,3,3,4, 14.4368
1,3,512,512,1,1,3,3,4, 39.9809
1,3,1024,1024,1,1,3,3,4, 166.167
1,3,2048,2048,1,1,3,3,4, 652.566
1,3,4096,4096,1,1,3,3,4, 2644.19
1,3,32,32,1,1,3,3,8, 8.48477
1,3,64,64,1,1,3,3,8, 8.58553
1,3,128,128,1,1,3,3,8, 9.78451
1,3,256,256,1,1,3,3,8, 18.2414
1,3,512,512,1,1,3,3,8, 51.7985
1,3,1024,1024,1,1,3,3,8, 208.1
1,3,2048,2048,1,1,3,3,8, 813.99
1,3,4096,4096,1,1,3,3,8, 3293.74
1,3,32,32,1,1,3,3,16, 12.6366
1,3,64,64,1,1,3,3,16, 12.497
1,3,128,128,1,1,3,3,16, 14.7629
1,3,256,256,1,1,3,3,16, 38.257
1,3,512,512,1,1,3,3,16, 126.881
1,3,1024,1024,1,1,3,3,16, 513.173
1,3,2048,2048,1,1,3,3,16, 2034.53
1,3,4096,4096,1,1,3,3,16, 8159.65
