N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 45.5925
2,3,512,512,1,1,3,3,1, 95.3968
4,3,512,512,1,1,3,3,1, 183.373
8,3,512,512,1,1,3,3,1, 360.818
16,3,512,512,1,1,3,3,1, 713.959
32,3,512,512,1,1,3,3,1, 1417.64
64,3,512,512,1,1,3,3,1, 2341.15
128,3,512,512,1,1,3,3,1, 4441.95
1,3,512,512,1,1,3,3,2, 47.4975
2,3,512,512,1,1,3,3,2, 86.5947
4,3,512,512,1,1,3,3,2, 162.301
8,3,512,512,1,1,3,3,2, 317.379
16,3,512,512,1,1,3,3,2, 630.659
32,3,512,512,1,1,3,3,2, 1249.82
64,3,512,512,1,1,3,3,2, 2497.04
128,3,512,512,1,1,3,3,2, 4990.96
1,3,512,512,1,1,3,3,3, 48.7578
2,3,512,512,1,1,3,3,3, 88.5699
4,3,512,512,1,1,3,3,3, 165.225
8,3,512,512,1,1,3,3,3, 325.055
16,3,512,512,1,1,3,3,3, 644.618
32,3,512,512,1,1,3,3,3, 1286.24
64,3,512,512,1,1,3,3,3, 2567.28
128,3,512,512,1,1,3,3,3, 5135.57
1,3,512,512,1,1,3,3,4, 49.6007
2,3,512,512,1,1,3,3,4, 90.6642
4,3,512,512,1,1,3,3,4, 171.269
8,3,512,512,1,1,3,3,4, 336.912
16,3,512,512,1,1,3,3,4, 668.843
32,3,512,512,1,1,3,3,4, 1331.81
64,3,512,512,1,1,3,3,4, 2655.86
128,3,512,512,1,1,3,3,4, 5319.98
1,3,512,512,1,1,3,3,5, 52.5147
2,3,512,512,1,1,3,3,5, 94.3769
4,3,512,512,1,1,3,3,5, 181.959
8,3,512,512,1,1,3,3,5, 356.515
16,3,512,512,1,1,3,3,5, 708.074
32,3,512,512,1,1,3,3,5, 1408.41
64,3,512,512,1,1,3,3,5, 2806.43
128,3,512,512,1,1,3,3,5, 5612.88
1,3,512,512,1,1,3,3,6, 53.7906
2,3,512,512,1,1,3,3,6, 98.5995
4,3,512,512,1,1,3,3,6, 189.497
8,3,512,512,1,1,3,3,6, 374.954
16,3,512,512,1,1,3,3,6, 742.448
32,3,512,512,1,1,3,3,6, 1480.28
64,3,512,512,1,1,3,3,6, 2954.92
128,3,512,512,1,1,3,3,6, 5903.66
