N,C,H,W,pad,fK,fH,fW,fRank,us
1,1,512,512,1,1,3,3,1, 16.4432
1,2,512,512,1,1,3,3,1, 24.578
1,4,512,512,1,1,3,3,1, 56.9893
1,8,512,512,1,1,3,3,1, 107.794
1,16,512,512,1,1,3,3,1, 211.912
1,32,512,512,1,1,3,3,1, 418.618
1,64,512,512,1,1,3,3,1, 841.378
1,128,512,512,1,1,3,3,1, 1675.07
1,1,512,512,1,1,3,3,2, 16.0041
1,2,512,512,1,1,3,3,2, 27.3886
1,4,512,512,1,1,3,3,2, 58.3626
1,8,512,512,1,1,3,3,2, 110.355
1,16,512,512,1,1,3,3,2, 213.98
1,32,512,512,1,1,3,3,2, 425.473
1,64,512,512,1,1,3,3,2, 852.324
1,128,512,512,1,1,3,3,2, 1703.25
1,1,512,512,1,1,3,3,3, 16.3316
1,2,512,512,1,1,3,3,3, 27.7494
1,4,512,512,1,1,3,3,3, 58.7091
1,8,512,512,1,1,3,3,3, 111.837
1,16,512,512,1,1,3,3,3, 217.437
1,32,512,512,1,1,3,3,3, 434.075
1,64,512,512,1,1,3,3,3, 866.14
1,128,512,512,1,1,3,3,3, 1728.13
1,1,512,512,1,1,3,3,4, 16.5311
1,2,512,512,1,1,3,3,4, 28.8681
1,4,512,512,1,1,3,3,4, 59.7542
1,8,512,512,1,1,3,3,4, 113.07
1,16,512,512,1,1,3,3,4, 220.508
1,32,512,512,1,1,3,3,4, 440.206
1,64,512,512,1,1,3,3,4, 880.101
1,128,512,512,1,1,3,3,4, 1753
1,1,512,512,1,1,3,3,5, 16.4473
1,2,512,512,1,1,3,3,5, 29.3998
1,4,512,512,1,1,3,3,5, 62.2094
1,8,512,512,1,1,3,3,5, 118.715
1,16,512,512,1,1,3,3,5, 228.912
1,32,512,512,1,1,3,3,5, 455.816
1,64,512,512,1,1,3,3,5, 911.362
1,128,512,512,1,1,3,3,5, 1816.59
1,1,512,512,1,1,3,3,6, 18.7009
1,2,512,512,1,1,3,3,6, 30.818
1,4,512,512,1,1,3,3,6, 63.906
1,8,512,512,1,1,3,3,6, 120.261
1,16,512,512,1,1,3,3,6, 235.963
1,32,512,512,1,1,3,3,6, 465.319
1,64,512,512,1,1,3,3,6, 933.983
1,128,512,512,1,1,3,3,6, 1861.11
1,1,512,512,1,1,3,3,7, 19.9265
1,2,512,512,1,1,3,3,7, 31.3702
1,4,512,512,1,1,3,3,7, 62.801
1,8,512,512,1,1,3,3,7, 118.339
1,16,512,512,1,1,3,3,7, 228.573
1,32,512,512,1,1,3,3,7, 451.834
1,64,512,512,1,1,3,3,7, 899.794
1,128,512,512,1,1,3,3,7, 1794.48
1,1,512,512,1,1,3,3,8, 21.0778
1,2,512,512,1,1,3,3,8, 33.3488
1,4,512,512,1,1,3,3,8, 67.7515
1,8,512,512,1,1,3,3,8, 122.568
1,16,512,512,1,1,3,3,8, 235.219
1,32,512,512,1,1,3,3,8, 465.25
1,64,512,512,1,1,3,3,8, 927.043
1,128,512,512,1,1,3,3,8, 1846.81
1,1,512,512,1,1,3,3,9, 23.3995
1,2,512,512,1,1,3,3,9, 36.03
1,4,512,512,1,1,3,3,9, 70.3265
1,8,512,512,1,1,3,3,9, 128.204
1,16,512,512,1,1,3,3,9, 246.822
1,32,512,512,1,1,3,3,9, 486.398
1,64,512,512,1,1,3,3,9, 969.695
1,128,512,512,1,1,3,3,9, 1950.01
1,1,512,512,1,1,3,3,10, 23.9878
1,2,512,512,1,1,3,3,10, 38.0337
1,4,512,512,1,1,3,3,10, 72.7122
1,8,512,512,1,1,3,3,10, 135.523
1,16,512,512,1,1,3,3,10, 257.726
1,32,512,512,1,1,3,3,10, 505.057
1,64,512,512,1,1,3,3,10, 999.21
1,128,512,512,1,1,3,3,10, 1988.36
1,1,512,512,1,1,3,3,11, 20.9757
1,2,512,512,1,1,3,3,11, 38.6002
1,4,512,512,1,1,3,3,11, 77.2698
1,8,512,512,1,1,3,3,11, 149.32
1,16,512,512,1,1,3,3,11, 287.602
1,32,512,512,1,1,3,3,11, 567.78
1,64,512,512,1,1,3,3,11, 1131.8
1,128,512,512,1,1,3,3,11, 2262.92
1,1,512,512,1,1,3,3,12, 21.9724
1,2,512,512,1,1,3,3,12, 39.7413
1,4,512,512,1,1,3,3,12, 78.9637
1,8,512,512,1,1,3,3,12, 151.207
1,16,512,512,1,1,3,3,12, 293.281
1,32,512,512,1,1,3,3,12, 579.71
1,64,512,512,1,1,3,3,12, 1156.06
1,128,512,512,1,1,3,3,12, 2311.71
