N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 35.1081
1,3,512,512,1,2,3,3,1, 42.5974
1,3,512,512,1,4,3,3,1, 43.7665
1,3,512,512,1,8,3,3,1, 48.8252
1,3,512,512,1,16,3,3,1, 66.1794
1,3,512,512,1,32,3,3,1, 120.235
1,3,512,512,1,64,3,3,1, 236.955
1,3,512,512,1,128,3,3,1, 517.896
1,3,512,512,1,1,3,3,2, 39.7631
1,3,512,512,1,2,3,3,2, 46.2917
1,3,512,512,1,4,3,3,2, 48.015
1,3,512,512,1,8,3,3,2, 52.1035
1,3,512,512,1,16,3,3,2, 67.3627
1,3,512,512,1,32,3,3,2, 121.105
1,3,512,512,1,64,3,3,2, 238.843
1,3,512,512,1,128,3,3,2, 519.49
1,3,512,512,1,1,3,3,3, 40.6897
1,3,512,512,1,2,3,3,3, 47.5275
1,3,512,512,1,4,3,3,3, 48.2254
1,3,512,512,1,8,3,3,3, 52.5031
1,3,512,512,1,16,3,3,3, 67.9074
1,3,512,512,1,32,3,3,3, 121.099
1,3,512,512,1,64,3,3,3, 233.945
1,3,512,512,1,128,3,3,3, 513.17
1,3,512,512,1,1,3,3,4, 41.8785
1,3,512,512,1,2,3,3,4, 48.5038
1,3,512,512,1,4,3,3,4, 49.346
1,3,512,512,1,8,3,3,4, 54.4143
1,3,512,512,1,16,3,3,4, 68.6026
1,3,512,512,1,32,3,3,4, 120.526
1,3,512,512,1,64,3,3,4, 232.487
1,3,512,512,1,128,3,3,4, 495.248
1,3,512,512,1,1,3,3,5, 44.0592
1,3,512,512,1,2,3,3,5, 51.0529
1,3,512,512,1,4,3,3,5, 51.4165
1,3,512,512,1,8,3,3,5, 56.2451
1,3,512,512,1,16,3,3,5, 68.655
1,3,512,512,1,32,3,3,5, 121.869
1,3,512,512,1,64,3,3,5, 231.705
1,3,512,512,1,128,3,3,5, 489.264
1,3,512,512,1,1,3,3,6, 47.4737
1,3,512,512,1,2,3,3,6, 52.7952
1,3,512,512,1,4,3,3,6, 53.8757
1,3,512,512,1,8,3,3,6, 58.6458
1,3,512,512,1,16,3,3,6, 69.1745
1,3,512,512,1,32,3,3,6, 120.883
1,3,512,512,1,64,3,3,6, 231.06
1,3,512,512,1,128,3,3,6, 491.771
1,3,512,512,1,1,3,3,7, 45.0335
1,3,512,512,1,2,3,3,7, 50.9672
1,3,512,512,1,4,3,3,7, 52.2669
1,3,512,512,1,8,3,3,7, 56.8225
1,3,512,512,1,16,3,3,7, 71.215
1,3,512,512,1,32,3,3,7, 122.463
1,3,512,512,1,64,3,3,7, 228.779
1,3,512,512,1,128,3,3,7, 482.605
1,3,512,512,1,1,3,3,8, 47.8169
1,3,512,512,1,2,3,3,8, 53.6946
1,3,512,512,1,4,3,3,8, 54.9031
1,3,512,512,1,8,3,3,8, 59.1496
1,3,512,512,1,16,3,3,8, 72.145
1,3,512,512,1,32,3,3,8, 122.852
1,3,512,512,1,64,3,3,8, 231.82
1,3,512,512,1,128,3,3,8, 487.964
1,3,512,512,1,1,3,3,9, 50.5253
1,3,512,512,1,2,3,3,9, 56.992
1,3,512,512,1,4,3,3,9, 57.7872
1,3,512,512,1,8,3,3,9, 63.1367
1,3,512,512,1,16,3,3,9, 74.7037
1,3,512,512,1,32,3,3,9, 125.146
1,3,512,512,1,64,3,3,9, 220.556
1,3,512,512,1,128,3,3,9, 493.086
1,3,512,512,1,1,3,3,10, 51.9067
1,3,512,512,1,2,3,3,10, 58.5668
1,3,512,512,1,4,3,3,10, 60.2608
1,3,512,512,1,8,3,3,10, 64.721
1,3,512,512,1,16,3,3,10, 76.9498
1,3,512,512,1,32,3,3,10, 124.016
1,3,512,512,1,64,3,3,10, 241.546
1,3,512,512,1,128,3,3,10, 506.984
1,3,512,512,1,1,3,3,11, 55.0597
1,3,512,512,1,2,3,3,11, 60.5896
1,3,512,512,1,4,3,3,11, 62.8303
1,3,512,512,1,8,3,3,11, 68.3472
1,3,512,512,1,16,3,3,11, 79.6371
1,3,512,512,1,32,3,3,11, 126.668
1,3,512,512,1,64,3,3,11, 251.707
1,3,512,512,1,128,3,3,11, 501.332
1,3,512,512,1,1,3,3,12, 57.4815
1,3,512,512,1,2,3,3,12, 61.6654
1,3,512,512,1,4,3,3,12, 63.6827
1,3,512,512,1,8,3,3,12, 69.4638
1,3,512,512,1,16,3,3,12, 81.8022
1,3,512,512,1,32,3,3,12, 128.008
1,3,512,512,1,64,3,3,12, 248.173
1,3,512,512,1,128,3,3,12, 504.172
1,3,512,512,1,1,3,3,13, 62.1583
1,3,512,512,1,2,3,3,13, 67.8577
1,3,512,512,1,4,3,3,13, 68.8769
1,3,512,512,1,8,3,3,13, 73.568
1,3,512,512,1,16,3,3,13, 86.7227
1,3,512,512,1,32,3,3,13, 128.103
1,3,512,512,1,64,3,3,13, 257.441
1,3,512,512,1,128,3,3,13, 507.746
1,3,512,512,1,1,3,3,14, 65.3447
1,3,512,512,1,2,3,3,14, 67.586
1,3,512,512,1,4,3,3,14, 69.314
1,3,512,512,1,8,3,3,14, 75.0346
1,3,512,512,1,16,3,3,14, 89.09
1,3,512,512,1,32,3,3,14, 167.585
1,3,512,512,1,64,3,3,14, 284.475
1,3,512,512,1,128,3,3,14, 549.628
1,3,512,512,1,1,3,3,15, 69.4223
1,3,512,512,1,2,3,3,15, 72.1307
1,3,512,512,1,4,3,3,15, 74.7043
1,3,512,512,1,8,3,3,15, 81.521
1,3,512,512,1,16,3,3,15, 92.3956
1,3,512,512,1,32,3,3,15, 158.55
1,3,512,512,1,64,3,3,15, 308.971
1,3,512,512,1,128,3,3,15, 564.98
1,3,512,512,1,1,3,3,16, 70.9624
1,3,512,512,1,2,3,3,16, 72.6659
1,3,512,512,1,4,3,3,16, 75.6119
1,3,512,512,1,8,3,3,16, 81.7981
1,3,512,512,1,16,3,3,16, 94.8085
1,3,512,512,1,32,3,3,16, 185.041
1,3,512,512,1,64,3,3,16, 352.02
1,3,512,512,1,128,3,3,16, 592.388
