N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,512,512,1,1,3,3,1, 34.6117
1,3,512,512,2,1,5,5,1, 57.4897
1,3,512,512,3,1,7,7,1, 90.6791
1,3,512,512,4,1,9,9,1, 137.198
1,3,512,512,5,1,11,11,1, 197.918
1,3,512,512,6,1,13,13,1, 270.332
1,3,512,512,7,1,15,15,1, 352.536
1,3,512,512,8,1,17,17,1, 444.657
1,3,512,512,1,1,3,3,2, 38.6744
1,3,512,512,2,1,5,5,2, 58.3271
1,3,512,512,3,1,7,7,2, 91.7079
1,3,512,512,4,1,9,9,2, 137.665
1,3,512,512,5,1,11,11,2, 198.492
1,3,512,512,6,1,13,13,2, 268.739
1,3,512,512,7,1,15,15,2, 351.375
1,3,512,512,8,1,17,17,2, 442.62
1,3,512,512,1,1,3,3,3, 40.1464
1,3,512,512,2,1,5,5,3, 58.3775
1,3,512,512,3,1,7,7,3, 91.936
1,3,512,512,4,1,9,9,3, 137.678
1,3,512,512,5,1,11,11,3, 196.177
1,3,512,512,6,1,13,13,3, 267.001
1,3,512,512,7,1,15,15,3, 349.962
1,3,512,512,8,1,17,17,3, 441.728
1,3,512,512,1,1,3,3,4, 40.5556
1,3,512,512,2,1,5,5,4, 62.5893
1,3,512,512,3,1,7,7,4, 97.6211
1,3,512,512,4,1,9,9,4, 142.522
1,3,512,512,5,1,11,11,4, 202.094
1,3,512,512,6,1,13,13,4, 272.342
1,3,512,512,7,1,15,15,4, 356.309
1,3,512,512,8,1,17,17,4, 783.877
1,3,512,512,1,1,3,3,5, 43.3294
1,3,512,512,2,1,5,5,5, 69.9105
1,3,512,512,3,1,7,7,5, 113.007
1,3,512,512,4,1,9,9,5, 171.645
1,3,512,512,5,1,11,11,5, 242.864
1,3,512,512,6,1,13,13,5, 333.029
1,3,512,512,7,1,15,15,5, 434.077
1,3,512,512,8,1,17,17,5, 555.935
1,3,512,512,1,1,3,3,6, 45.6286
1,3,512,512,2,1,5,5,6, 75.4192
1,3,512,512,3,1,7,7,6, 129.217
1,3,512,512,4,1,9,9,6, 199.062
1,3,512,512,5,1,11,11,6, 286.436
1,3,512,512,6,1,13,13,6, 392.509
1,3,512,512,7,1,15,15,6, 516.636
1,3,512,512,8,1,17,17,6, 663.746
1,3,512,512,1,1,3,3,7, 43.87
1,3,512,512,2,1,5,5,7, 88.1511
1,3,512,512,3,1,7,7,7, 148.804
1,3,512,512,4,1,9,9,7, 229.977
1,3,512,512,5,1,11,11,7, 332.918
1,3,512,512,6,1,13,13,7, 457.554
1,3,512,512,7,1,15,15,7, 605.023
1,3,512,512,8,1,17,17,7, 767.352
1,3,512,512,1,1,3,3,8, 46.7683
1,3,512,512,2,1,5,5,8, 98.0017
1,3,512,512,3,1,7,7,8, 176.453
1,3,512,512,4,1,9,9,8, 295.062
1,3,512,512,5,1,11,11,8, 567.178
1,3,512,512,6,1,13,13,8, 870.089
1,3,512,512,7,1,15,15,8, 1512.55
1,3,512,512,8,1,17,17,8, 2165.57
1,3,512,512,1,1,3,3,9, 49.406
1,3,512,512,2,1,5,5,9, 106.465
1,3,512,512,3,1,7,7,9, 190.447
1,3,512,512,4,1,9,9,9, 345.039
1,3,512,512,5,1,11,11,9, 830.946
1,3,512,512,6,1,13,13,9, 1290.33
1,3,512,512,7,1,15,15,9, 1008.43
1,3,512,512,8,1,17,17,9, 1268.23
1,3,512,512,1,1,3,3,10, 51.0427
1,3,512,512,2,1,5,5,10, 116.148
1,3,512,512,3,1,7,7,10, 214.423
1,3,512,512,4,1,9,9,10, 501.055
1,3,512,512,5,1,11,11,10, 722.381
1,3,512,512,6,1,13,13,10, 938.232
1,3,512,512,7,1,15,15,10, 1243.32
1,3,512,512,8,1,17,17,10, 3091.67
1,3,512,512,1,1,3,3,11, 55.1333
1,3,512,512,2,1,5,5,11, 126.756
1,3,512,512,3,1,7,7,11, 257.628
1,3,512,512,4,1,9,9,11, 582.136
1,3,512,512,5,1,11,11,11, 1066.31
1,3,512,512,6,1,13,13,11, 948.108
1,3,512,512,7,1,15,15,11, 3151.31
1,3,512,512,8,1,17,17,11, 1938.81
1,3,512,512,1,1,3,3,12, 56.542
1,3,512,512,2,1,5,5,12, 129.962
1,3,512,512,3,1,7,7,12, 282.767
1,3,512,512,4,1,9,9,12, 595.345
1,3,512,512,5,1,11,11,12, 921.002
1,3,512,512,6,1,13,13,12, 1169.95
1,3,512,512,7,1,15,15,12, 3126.69
1,3,512,512,8,1,17,17,12, 2075.41
1,3,512,512,1,1,3,3,13, 61.3583
1,3,512,512,2,1,5,5,13, 138.525
1,3,512,512,3,1,7,7,13, 321.039
1,3,512,512,4,1,9,9,13, 802.25
1,3,512,512,5,1,11,11,13, 1342.51
1,3,512,512,6,1,13,13,13, 1107.64
1,3,512,512,7,1,15,15,13, 1575.02
1,3,512,512,8,1,17,17,13, 5407.81
1,3,512,512,1,1,3,3,14, 63.8911
1,3,512,512,2,1,5,5,14, 151.311
1,3,512,512,3,1,7,7,14, 466.101
1,3,512,512,4,1,9,9,14, 753.773
1,3,512,512,5,1,11,11,14, 1528.56
1,3,512,512,6,1,13,13,14, 1391.82
1,3,512,512,7,1,15,15,14, 1839.73
1,3,512,512,8,1,17,17,14, 2480.81
1,3,512,512,1,1,3,3,15, 68.4146
1,3,512,512,2,1,5,5,15, 185.569
1,3,512,512,3,1,7,7,15, 512.79
1,3,512,512,4,1,9,9,15, 1038.34
1,3,512,512,5,1,11,11,15, 1494.78
1,3,512,512,6,1,13,13,15, 1340.82
1,3,512,512,7,1,15,15,15, 1714.65
1,3,512,512,8,1,17,17,15, 2214.7
1,3,512,512,1,1,3,3,16, 70.287
1,3,512,512,2,1,5,5,16, 170.934
1,3,512,512,3,1,7,7,16, 554.53
1,3,512,512,4,1,9,9,16, 861.664
1,3,512,512,5,1,11,11,16, 1662.06
1,3,512,512,6,1,13,13,16, 2861.65
1,3,512,512,7,1,15,15,16, 4251.67
1,3,512,512,8,1,17,17,16, 4721.51
