N,C,H,W,pad,fK,fH,fW,fRank,us
1,3,32,32,1,1,3,3,1, 8.17294
1,3,64,64,1,1,3,3,1, 7.86451
1,3,128,128,1,1,3,3,1, 8.256
1,3,256,256,1,1,3,3,1, 12.798
1,3,512,512,1,1,3,3,1, 34.6914
1,3,1024,1024,1,1,3,3,1, 148.736
1,3,2048,2048,1,1,3,3,1, 575.438
1,3,4096,4096,1,1,3,3,1, 2285.46
1,3,32,32,1,1,3,3,2, 8.59643
1,3,64,64,1,1,3,3,2, 8.0994
1,3,128,128,1,1,3,3,2, 9.01106
1,3,256,256,1,1,3,3,2, 13.8111
1,3,512,512,1,1,3,3,2, 38.7826
1,3,1024,1024,1,1,3,3,2, 164.153
1,3,2048,2048,1,1,3,3,2, 638.748
1,3,4096,4096,1,1,3,3,2, 2536.45
1,3,32,32,1,1,3,3,3, 8.17634
1,3,64,64,1,1,3,3,3, 8.24374
1,3,128,128,1,1,3,3,3, 8.78094
1,3,256,256,1,1,3,3,3, 15.2123
1,3,512,512,1,1,3,3,3, 40.3145
1,3,1024,1024,1,1,3,3,3, 168.946
1,3,2048,2048,1,1,3,3,3, 657.806
1,3,4096,4096,1,1,3,3,3, 2628.71
1,3,32,32,1,1,3,3,4, 8.34383
1,3,64,64,1,1,3,3,4, 8.14911
1,3,128,128,1,1,3,3,4, 8.62094
1,3,256,256,1,1,3,3,4, 14.4197
1,3,512,512,1,1,3,3,4, 40.8906
1,3,1024,1024,1,1,3,3,4, 174.536
1,3,2048,2048,1,1,3,3,4, 686.632
1,3,4096,4096,1,1,3,3,4, 2757.48
1,3,32,32,1,1,3,3,5, 8.85855
1,3,64,64,1,1,3,3,5, 8.76868
1,3,128,128,1,1,3,3,5, 9.36238
1,3,256,256,1,1,3,3,5, 15.2211
1,3,512,512,1,1,3,3,5, 43.4403
1,3,1024,1024,1,1,3,3,5, 183.147
1,3,2048,2048,1,1,3,3,5, 720.274
1,3,4096,4096,1,1,3,3,5, 2893.81
1,3,32,32,1,1,3,3,6, 8.55217
1,3,64,64,1,1,3,3,6, 9.73958
1,3,128,128,1,1,3,3,6, 9.04238
1,3,256,256,1,1,3,3,6, 16.2846
1,3,512,512,1,1,3,3,6, 45.8853
1,3,1024,1024,1,1,3,3,6, 192.274
1,3,2048,2048,1,1,3,3,6, 757.408
1,3,4096,4096,1,1,3,3,6, 3038.01
1,3,32,32,1,1,3,3,7, 8.46774
1,3,64,64,1,1,3,3,7, 8.36357
1,3,128,128,1,1,3,3,7, 8.93209
1,3,256,256,1,1,3,3,7, 15.3055
1,3,512,512,1,1,3,3,7, 44.5011
1,3,1024,1024,1,1,3,3,7, 187.852
1,3,2048,2048,1,1,3,3,7, 743.557
1,3,4096,4096,1,1,3,3,7, 2992.31
1,3,32,32,1,1,3,3,8, 8.50315
1,3,64,64,1,1,3,3,8, 8.82723
1,3,128,128,1,1,3,3,8, 8.8463
1,3,256,256,1,1,3,3,8, 17.2398
1,3,512,512,1,1,3,3,8, 46.7336
1,3,1024,1024,1,1,3,3,8, 194.171
1,3,2048,2048,1,1,3,3,8, 768.542
1,3,4096,4096,1,1,3,3,8, 3085.56
1,3,32,32,1,1,3,3,9, 8.77685
1,3,64,64,1,1,3,3,9, 8.64204
1,3,128,128,1,1,3,3,9, 9.13021
1,3,256,256,1,1,3,3,9, 17.9506
1,3,512,512,1,1,3,3,9, 49.969
1,3,1024,1024,1,1,3,3,9, 205.661
1,3,2048,2048,1,1,3,3,9, 812.099
1,3,4096,4096,1,1,3,3,9, 3258.36
1,3,32,32,1,1,3,3,10, 8.84698
