N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 101.135
1,48,55,55,2,256,5,5,1, 73.9459
1,256,27,27,1,384,3,3,1, 280.102
1,192,13,13,1,384,3,3,1, 184.046
1,192,13,13,1,256,3,3,1, 181.145
1,3,224,224,5,96,11,11,2, 102.272
1,48,55,55,2,256,5,5,2, 76.8293
1,256,27,27,1,384,3,3,2, 289.14
1,192,13,13,1,384,3,3,2, 194.554
1,192,13,13,1,256,3,3,2, 187.905
1,3,224,224,5,96,11,11,4, 96.6312
1,48,55,55,2,256,5,5,4, 93.536
1,256,27,27,1,384,3,3,4, 314.323
1,192,13,13,1,384,3,3,4, 216.043
1,192,13,13,1,256,3,3,4, 208.283
1,3,224,224,5,96,11,11,8, 260.06
1,48,55,55,2,256,5,5,8, 156.288
1,256,27,27,1,384,3,3,8, 382.125
1,192,13,13,1,384,3,3,8, 274.388
1,192,13,13,1,256,3,3,8, 259.534
1,3,224,224,5,96,11,11,16, 542.47
1,48,55,55,2,256,5,5,16, 263.513
1,256,27,27,1,384,3,3,16, 549.625
1,192,13,13,1,384,3,3,16, 321.56
1,192,13,13,1,256,3,3,16, 301.439
