N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,32,32,1,1,3,3,1,3968
2,2,64,64,1,2,3,3,1,6144
4,4,128,128,1,4,3,3,1,20576
8,8,256,256,1,8,3,3,1,267712
16,16,512,512,1,16,3,3,1,4.2895e+06
1,1,32,32,1,1,3,3,2,4064
2,2,64,64,1,2,3,3,2,6080
4,4,128,128,1,4,3,3,2,20768
8,8,256,256,1,8,3,3,2,273792
16,16,512,512,1,16,3,3,2,4.35338e+06
1,1,32,32,1,1,3,3,4,4384
2,2,64,64,1,2,3,3,4,6400
4,4,128,128,1,4,3,3,4,23040
8,8,256,256,1,8,3,3,4,297088
16,16,512,512,1,16,3,3,4,4.6753e+06
1,1,32,32,1,1,3,3,8,4672
2,2,64,64,1,2,3,3,8,7328
4,4,128,128,1,4,3,3,8,29984
8,8,256,256,1,8,3,3,8,370080
16,16,512,512,1,16,3,3,8,5.68301e+06
1,1,32,32,1,1,3,3,16,6208
2,2,64,64,1,2,3,3,16,11520
4,4,128,128,1,4,3,3,16,74048
8,8,256,256,1,8,3,3,16,976000
16,16,512,512,1,16,3,3,16,1.52997e+07
