N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,512,512,1,1,3,3,1,22912
1,2,512,512,1,1,3,3,1,37248
1,3,512,512,1,1,3,3,1,53312
1,4,512,512,1,1,3,3,1,68736
1,8,512,512,1,1,3,3,1,129952
1,16,512,512,1,1,3,3,1,252320
1,32,512,512,1,1,3,3,1,496288
1,64,512,512,1,1,3,3,1,989120
1,128,512,512,1,1,3,3,1,1.97802e+06
1,1,512,512,1,1,3,3,2,23488
1,2,512,512,1,1,3,3,2,38144
1,3,512,512,1,1,3,3,2,54688
1,4,512,512,1,1,3,3,2,69984
1,8,512,512,1,1,3,3,2,132096
1,16,512,512,1,1,3,3,2,256512
1,32,512,512,1,1,3,3,2,501664
1,64,512,512,1,1,3,3,2,1.00224e+06
1,128,512,512,1,1,3,3,2,1.9961e+06
1,1,512,512,1,1,3,3,4,25312
1,2,512,512,1,1,3,3,4,41312
1,3,512,512,1,1,3,3,4,58816
1,4,512,512,1,1,3,3,4,75840
1,8,512,512,1,1,3,3,4,141952
1,16,512,512,1,1,3,3,4,274112
1,32,512,512,1,1,3,3,4,538176
1,64,512,512,1,1,3,3,4,1.06787e+06
1,128,512,512,1,1,3,3,4,2.1248e+06
1,1,512,512,1,1,3,3,8,31008
1,2,512,512,1,1,3,3,8,52736
1,3,512,512,1,1,3,3,8,74080
1,4,512,512,1,1,3,3,8,93600
1,8,512,512,1,1,3,3,8,175072
1,16,512,512,1,1,3,3,8,335552
1,32,512,512,1,1,3,3,8,658720
1,64,512,512,1,1,3,3,8,1.30275e+06
1,128,512,512,1,1,3,3,8,2.61328e+06
1,1,512,512,1,1,3,3,16,67648
1,2,512,512,1,1,3,3,16,124800
1,3,512,512,1,1,3,3,16,183296
1,4,512,512,1,1,3,3,16,241792
1,8,512,512,1,1,3,3,16,470720
1,16,512,512,1,1,3,3,16,928480
1,32,512,512,1,1,3,3,16,1.82582e+06
1,64,512,512,1,1,3,3,16,3.69094e+06
1,128,512,512,1,1,3,3,16,7.3623e+06
