N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,53184
1,3,512,512,1,2,3,3,1,54080
1,3,512,512,1,4,3,3,1,55808
1,3,512,512,1,8,3,3,1,59904
1,3,512,512,1,16,3,3,1,73664
1,3,512,512,1,32,3,3,1,131008
1,3,512,512,1,64,3,3,1,267968
1,3,512,512,1,128,3,3,1,580480
1,3,512,512,1,1,3,3,2,54496
1,3,512,512,1,2,3,3,2,55520
1,3,512,512,1,4,3,3,2,56960
1,3,512,512,1,8,3,3,2,61504
1,3,512,512,1,16,3,3,2,78624
1,3,512,512,1,32,3,3,2,133248
1,3,512,512,1,64,3,3,2,246304
1,3,512,512,1,128,3,3,2,529920
1,3,512,512,1,1,3,3,4,58560
1,3,512,512,1,2,3,3,4,60256
1,3,512,512,1,4,3,3,4,62528
1,3,512,512,1,8,3,3,4,68128
1,3,512,512,1,16,3,3,4,78656
1,3,512,512,1,32,3,3,4,127456
1,3,512,512,1,64,3,3,4,230848
1,3,512,512,1,128,3,3,4,508768
1,3,512,512,1,1,3,3,8,72992
1,3,512,512,1,2,3,3,8,75744
1,3,512,512,1,4,3,3,8,79008
1,3,512,512,1,8,3,3,8,87936
1,3,512,512,1,16,3,3,8,102112
1,3,512,512,1,32,3,3,8,131904
1,3,512,512,1,64,3,3,8,220032
1,3,512,512,1,128,3,3,8,551776
1,3,512,512,1,1,3,3,16,185056
1,3,512,512,1,2,3,3,16,187360
1,3,512,512,1,4,3,3,16,194208
1,3,512,512,1,8,3,3,16,211072
1,3,512,512,1,16,3,3,16,248448
1,3,512,512,1,32,3,3,16,331520
1,3,512,512,1,64,3,3,16,514880
1,3,512,512,1,128,3,3,16,954720
