N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,53184
1,3,512,512,2,1,5,5,1,80800
1,3,512,512,3,1,7,7,1,131616
1,3,512,512,4,1,9,9,1,197280
1,3,512,512,5,1,11,11,1,284544
1,3,512,512,6,1,13,13,1,383040
1,3,512,512,7,1,15,15,1,499072
1,3,512,512,8,1,17,17,1,624608
1,3,512,512,1,1,3,3,2,54112
1,3,512,512,2,1,5,5,2,82240
1,3,512,512,3,1,7,7,2,132288
1,3,512,512,4,1,9,9,2,198976
1,3,512,512,5,1,11,11,2,285504
1,3,512,512,6,1,13,13,2,384480
1,3,512,512,7,1,15,15,2,499232
1,3,512,512,8,1,17,17,2,626848
1,3,512,512,1,1,3,3,4,58592
1,3,512,512,2,1,5,5,4,87200
1,3,512,512,3,1,7,7,4,141344
1,3,512,512,4,1,9,9,4,224256
1,3,512,512,5,1,11,11,4,315424
1,3,512,512,6,1,13,13,4,422752
1,3,512,512,7,1,15,15,4,545696
1,3,512,512,8,1,17,17,4,691200
1,3,512,512,1,1,3,3,8,73664
1,3,512,512,2,1,5,5,8,162496
1,3,512,512,3,1,7,7,8,272000
1,3,512,512,4,1,9,9,8,421248
1,3,512,512,5,1,11,11,8,603456
1,3,512,512,6,1,13,13,8,1.4015e+06
1,3,512,512,7,1,15,15,8,1.9759e+06
1,3,512,512,8,1,17,17,8,2.24646e+06
1,3,512,512,1,1,3,3,16,184000
1,3,512,512,2,1,5,5,16,361280
1,3,512,512,3,1,7,7,16,936320
1,3,512,512,4,1,9,9,16,1.4831e+06
1,3,512,512,5,1,11,11,16,2.16211e+06
1,3,512,512,6,1,13,13,16,2.9671e+06
1,3,512,512,7,1,15,15,16,3.90003e+06
1,3,512,512,8,1,17,17,16,4.99834e+06
