N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,6400
1,3,64,64,1,1,3,3,1,7008
1,3,128,128,1,1,3,3,1,8128
1,3,256,256,1,1,3,3,1,15968
1,3,512,512,1,1,3,3,1,53120
1,3,1024,1024,1,1,3,3,1,192576
1,3,2048,2048,1,1,3,3,1,761152
1,3,4096,4096,1,1,3,3,1,3.03357e+06
1,3,32,32,1,1,3,3,2,6560
1,3,64,64,1,1,3,3,2,7200
1,3,128,128,1,1,3,3,2,8288
1,3,256,256,1,1,3,3,2,16512
1,3,512,512,1,1,3,3,2,54496
1,3,1024,1024,1,1,3,3,2,196832
1,3,2048,2048,1,1,3,3,2,776256
1,3,4096,4096,1,1,3,3,2,3.09696e+06
1,3,32,32,1,1,3,3,4,6912
1,3,64,64,1,1,3,3,4,7584
1,3,128,128,1,1,3,3,4,8800
1,3,256,256,1,1,3,3,4,17408
1,3,512,512,1,1,3,3,4,58848
1,3,1024,1024,1,1,3,3,4,217216
1,3,2048,2048,1,1,3,3,4,854752
1,3,4096,4096,1,1,3,3,4,3.42394e+06
1,3,32,32,1,1,3,3,8,7904
1,3,64,64,1,1,3,3,8,8544
1,3,128,128,1,1,3,3,8,10400
1,3,256,256,1,1,3,3,8,22784
1,3,512,512,1,1,3,3,8,72992
1,3,1024,1024,1,1,3,3,8,275904
1,3,2048,2048,1,1,3,3,8,1.08179e+06
1,3,4096,4096,1,1,3,3,8,4.3312e+06
1,3,32,32,1,1,3,3,16,13408
1,3,64,64,1,1,3,3,16,14336
1,3,128,128,1,1,3,3,16,17440
1,3,256,256,1,1,3,3,16,50208
1,3,512,512,1,1,3,3,16,182976
1,3,1024,1024,1,1,3,3,16,700736
1,3,2048,2048,1,1,3,3,16,2.7776e+06
1,3,4096,4096,1,1,3,3,16,1.11371e+07
