N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,52736
2,3,512,512,1,1,3,3,1,99040
4,3,512,512,1,1,3,3,1,190848
8,3,512,512,1,1,3,3,1,373440
16,3,512,512,1,1,3,3,1,739744
32,3,512,512,1,1,3,3,1,1.47133e+06
64,3,512,512,1,1,3,3,1,2.9345e+06
128,3,512,512,1,1,3,3,1,5.86883e+06
1,3,512,512,1,1,3,3,2,53952
2,3,512,512,1,1,3,3,2,100960
4,3,512,512,1,1,3,3,2,194432
8,3,512,512,1,1,3,3,2,381152
16,3,512,512,1,1,3,3,2,756192
32,3,512,512,1,1,3,3,2,1.50278e+06
64,3,512,512,1,1,3,3,2,2.99725e+06
128,3,512,512,1,1,3,3,2,5.98941e+06
1,3,512,512,1,1,3,3,4,57568
2,3,512,512,1,1,3,3,4,109856
4,3,512,512,1,1,3,3,4,215360
8,3,512,512,1,1,3,3,4,424864
16,3,512,512,1,1,3,3,4,843040
32,3,512,512,1,1,3,3,4,1.67891e+06
64,3,512,512,1,1,3,3,4,3.34762e+06
128,3,512,512,1,1,3,3,4,6.69942e+06
1,3,512,512,1,1,3,3,8,72064
2,3,512,512,1,1,3,3,8,138688
4,3,512,512,1,1,3,3,8,273472
8,3,512,512,1,1,3,3,8,539680
16,3,512,512,1,1,3,3,8,1.0703e+06
32,3,512,512,1,1,3,3,8,2.1344e+06
64,3,512,512,1,1,3,3,8,4.26269e+06
128,3,512,512,1,1,3,3,8,8.51622e+06
1,3,512,512,1,1,3,3,16,183360
2,3,512,512,1,1,3,3,16,360576
4,3,512,512,1,1,3,3,16,714624
8,3,512,512,1,1,3,3,16,1.42093e+06
16,3,512,512,1,1,3,3,16,2.83072e+06
32,3,512,512,1,1,3,3,16,5.65264e+06
64,3,512,512,1,1,3,3,16,1.13077e+07
128,3,512,512,1,1,3,3,16,2.26149e+07
