N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,100352
2,3,512,512,1,1,3,3,1,193728
4,3,512,512,1,1,3,3,1,378560
8,3,512,512,1,1,3,3,1,749056
16,3,512,512,1,1,3,3,1,1.48861e+06
32,3,512,512,1,1,3,3,1,2.97059e+06
64,3,512,512,1,1,3,3,1,5.93158e+06
128,3,512,512,1,1,3,3,1,1.18562e+07
1,3,512,512,1,1,3,3,2,103648
2,3,512,512,1,1,3,3,2,199392
4,3,512,512,1,1,3,3,2,390720
8,3,512,512,1,1,3,3,2,772288
16,3,512,512,1,1,3,3,2,1.5367e+06
32,3,512,512,1,1,3,3,2,3.0631e+06
64,3,512,512,1,1,3,3,2,6.11949e+06
128,3,512,512,1,1,3,3,2,1.22264e+07
1,3,512,512,1,1,3,3,4,106816
2,3,512,512,1,1,3,3,4,205920
4,3,512,512,1,1,3,3,4,402624
8,3,512,512,1,1,3,3,4,795584
16,3,512,512,1,1,3,3,4,1.58182e+06
32,3,512,512,1,1,3,3,4,3.15603e+06
64,3,512,512,1,1,3,3,4,6.30115e+06
128,3,512,512,1,1,3,3,4,1.25928e+07
1,3,512,512,1,1,3,3,8,162208
2,3,512,512,1,1,3,3,8,315392
4,3,512,512,1,1,3,3,8,620416
8,3,512,512,1,1,3,3,8,1.23034e+06
16,3,512,512,1,1,3,3,8,2.45293e+06
32,3,512,512,1,1,3,3,8,4.8943e+06
64,3,512,512,1,1,3,3,8,9.77494e+06
128,3,512,512,1,1,3,3,8,1.95531e+07
1,3,512,512,1,1,3,3,16,353216
2,3,512,512,1,1,3,3,16,692288
4,3,512,512,1,1,3,3,16,1.37059e+06
8,3,512,512,1,1,3,3,16,2.72426e+06
16,3,512,512,1,1,3,3,16,5.44518e+06
32,3,512,512,1,1,3,3,16,1.08749e+07
64,3,512,512,1,1,3,3,16,2.17198e+07
128,3,512,512,1,1,3,3,16,4.3405e+07
