N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,512,512,1,1,3,3,1,57216
1,2,512,512,1,1,3,3,1,81024
1,3,512,512,1,1,3,3,1,100384
1,4,512,512,1,1,3,3,1,111424
1,8,512,512,1,1,3,3,1,172544
1,16,512,512,1,1,3,3,1,295552
1,32,512,512,1,1,3,3,1,544736
1,64,512,512,1,1,3,3,1,1.05971e+06
1,128,512,512,1,1,3,3,1,2.07325e+06
1,1,512,512,1,1,3,3,2,59104
1,2,512,512,1,1,3,3,2,83840
1,3,512,512,1,1,3,3,2,103520
1,4,512,512,1,1,3,3,2,114624
1,8,512,512,1,1,3,3,2,177504
1,16,512,512,1,1,3,3,2,304160
1,32,512,512,1,1,3,3,2,560288
1,64,512,512,1,1,3,3,2,1.08301e+06
1,128,512,512,1,1,3,3,2,2.12227e+06
1,1,512,512,1,1,3,3,4,62016
1,2,512,512,1,1,3,3,4,87456
1,3,512,512,1,1,3,3,4,106816
1,4,512,512,1,1,3,3,4,119264
1,8,512,512,1,1,3,3,4,184864
1,16,512,512,1,1,3,3,4,318592
1,32,512,512,1,1,3,3,4,588000
1,64,512,512,1,1,3,3,4,1.13245e+06
1,128,512,512,1,1,3,3,4,2.22422e+06
1,1,512,512,1,1,3,3,8,98400
1,2,512,512,1,1,3,3,8,142912
1,3,512,512,1,1,3,3,8,162432
1,4,512,512,1,1,3,3,8,177024
1,8,512,512,1,1,3,3,8,251360
1,16,512,512,1,1,3,3,8,409408
1,32,512,512,1,1,3,3,8,740608
1,64,512,512,1,1,3,3,8,1.40717e+06
1,128,512,512,1,1,3,3,8,2.7593e+06
1,1,512,512,1,1,3,3,16,218656
1,2,512,512,1,1,3,3,16,279104
1,3,512,512,1,1,3,3,16,352608
1,4,512,512,1,1,3,3,16,382528
1,8,512,512,1,1,3,3,16,628320
1,16,512,512,1,1,3,3,16,1.05456e+06
1,32,512,512,1,1,3,3,16,1.95264e+06
1,64,512,512,1,1,3,3,16,3.77706e+06
1,128,512,512,1,1,3,3,16,7.43478e+06
