N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,100704
1,3,512,512,1,2,3,3,1,102592
1,3,512,512,1,4,3,3,1,105856
1,3,512,512,1,8,3,3,1,114816
1,3,512,512,1,16,3,3,1,128512
1,3,512,512,1,32,3,3,1,158720
1,3,512,512,1,64,3,3,1,340928
1,3,512,512,1,128,3,3,1,1.39123e+06
1,3,512,512,1,1,3,3,2,103872
1,3,512,512,1,2,3,3,2,108800
1,3,512,512,1,4,3,3,2,109696
1,3,512,512,1,8,3,3,2,119328
1,3,512,512,1,16,3,3,2,136160
1,3,512,512,1,32,3,3,2,172352
1,3,512,512,1,64,3,3,2,429440
1,3,512,512,1,128,3,3,2,1.44512e+06
1,3,512,512,1,1,3,3,4,107040
1,3,512,512,1,2,3,3,4,111744
1,3,512,512,1,4,3,3,4,113184
1,3,512,512,1,8,3,3,4,124640
1,3,512,512,1,16,3,3,4,147936
1,3,512,512,1,32,3,3,4,196128
1,3,512,512,1,64,3,3,4,489280
1,3,512,512,1,128,3,3,4,1.44579e+06
1,3,512,512,1,1,3,3,8,162720
1,3,512,512,1,2,3,3,8,171040
1,3,512,512,1,4,3,3,8,170496
1,3,512,512,1,8,3,3,8,185088
1,3,512,512,1,16,3,3,8,220064
1,3,512,512,1,32,3,3,8,290816
1,3,512,512,1,64,3,3,8,596736
1,3,512,512,1,128,3,3,8,1.59107e+06
1,3,512,512,1,1,3,3,16,354272
1,3,512,512,1,2,3,3,16,364160
1,3,512,512,1,4,3,3,16,380864
1,3,512,512,1,8,3,3,16,422016
1,3,512,512,1,16,3,3,16,510464
1,3,512,512,1,32,3,3,16,716800
1,3,512,512,1,64,3,3,16,1.21962e+06
1,3,512,512,1,128,3,3,16,2.11437e+06
