N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,100096
1,3,512,512,2,1,5,5,1,133248
1,3,512,512,3,1,7,7,1,183872
1,3,512,512,4,1,9,9,1,249984
1,3,512,512,5,1,11,11,1,342912
1,3,512,512,6,1,13,13,1,441600
1,3,512,512,7,1,15,15,1,577376
1,3,512,512,8,1,17,17,1,693536
1,3,512,512,1,1,3,3,2,103296
1,3,512,512,2,1,5,5,2,134976
1,3,512,512,3,1,7,7,2,187008
1,3,512,512,4,1,9,9,2,254432
1,3,512,512,5,1,11,11,2,347712
1,3,512,512,6,1,13,13,2,450272
1,3,512,512,7,1,15,15,2,592864
1,3,512,512,8,1,17,17,2,708320
1,3,512,512,1,1,3,3,4,106688
1,3,512,512,2,1,5,5,4,141472
1,3,512,512,3,1,7,7,4,197184
1,3,512,512,4,1,9,9,4,270400
1,3,512,512,5,1,11,11,4,397344
1,3,512,512,6,1,13,13,4,558304
1,3,512,512,7,1,15,15,4,776512
1,3,512,512,8,1,17,17,4,1.0497e+06
1,3,512,512,1,1,3,3,8,162528
1,3,512,512,2,1,5,5,8,227232
1,3,512,512,3,1,7,7,8,343840
1,3,512,512,4,1,9,9,8,503488
1,3,512,512,5,1,11,11,8,680736
1,3,512,512,6,1,13,13,8,1.50358e+06
1,3,512,512,7,1,15,15,8,2.28835e+06
1,3,512,512,8,1,17,17,8,2.59805e+06
1,3,512,512,1,1,3,3,16,353824
1,3,512,512,2,1,5,5,16,632160
1,3,512,512,3,1,7,7,16,1.07232e+06
1,3,512,512,4,1,9,9,16,1.72371e+06
1,3,512,512,5,1,11,11,16,2.9767e+06
1,3,512,512,6,1,13,13,16,4.77731e+06
1,3,512,512,7,1,15,15,16,8.00899e+06
1,3,512,512,8,1,17,17,16,1.01431e+07
