N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,5600
1,3,64,64,1,1,3,3,1,7104
1,3,128,128,1,1,3,3,1,13760
1,3,256,256,1,1,3,3,1,40544
1,3,512,512,1,1,3,3,1,144352
1,3,1024,1024,1,1,3,3,1,550944
1,3,2048,2048,1,1,3,3,1,2.17616e+06
1,3,4096,4096,1,1,3,3,1,8.68906e+06
1,3,32,32,1,1,3,3,2,5728
1,3,64,64,1,1,3,3,2,6976
1,3,128,128,1,1,3,3,2,14400
1,3,256,256,1,1,3,3,2,41696
1,3,512,512,1,1,3,3,2,149792
1,3,1024,1024,1,1,3,3,2,573952
1,3,2048,2048,1,1,3,3,2,2.26621e+06
1,3,4096,4096,1,1,3,3,2,9.04349e+06
1,3,32,32,1,1,3,3,4,5376
1,3,64,64,1,1,3,3,4,6880
1,3,128,128,1,1,3,3,4,14784
1,3,256,256,1,1,3,3,4,43872
1,3,512,512,1,1,3,3,4,159136
1,3,1024,1024,1,1,3,3,4,611168
1,3,2048,2048,1,1,3,3,4,2.41718e+06
1,3,4096,4096,1,1,3,3,4,9.6455e+06
1,3,32,32,1,1,3,3,8,7328
1,3,64,64,1,1,3,3,8,10240
1,3,128,128,1,1,3,3,8,25152
1,3,256,256,1,1,3,3,8,76864
1,3,512,512,1,1,3,3,8,281952
1,3,1024,1024,1,1,3,3,8,1.09549e+06
1,3,2048,2048,1,1,3,3,8,4.34598e+06
1,3,4096,4096,1,1,3,3,8,1.73604e+07
1,3,32,32,1,1,3,3,16,10336
1,3,64,64,1,1,3,3,16,18944
1,3,128,128,1,1,3,3,16,66720
1,3,256,256,1,1,3,3,16,239168
1,3,512,512,1,1,3,3,16,939232
1,3,1024,1024,1,1,3,3,16,3.73651e+06
1,3,2048,2048,1,1,3,3,16,1.49403e+07
1,3,4096,4096,1,1,3,3,16,5.97756e+07
