N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,68896
2,3,512,512,1,1,3,3,1,131584
4,3,512,512,1,1,3,3,1,253856
8,3,512,512,1,1,3,3,1,497504
16,3,512,512,1,1,3,3,1,990464
32,3,512,512,1,1,3,3,1,1.96954e+06
64,3,512,512,1,1,3,3,1,3.93261e+06
128,3,512,512,1,1,3,3,1,7.85629e+06
1,3,512,512,1,1,3,3,2,73472
2,3,512,512,1,1,3,3,2,142592
4,3,512,512,1,1,3,3,2,275936
8,3,512,512,1,1,3,3,2,539648
16,3,512,512,1,1,3,3,2,1.07306e+06
32,3,512,512,1,1,3,3,2,2.13837e+06
64,3,512,512,1,1,3,3,2,4.27597e+06
128,3,512,512,1,1,3,3,2,8.52461e+06
1,3,512,512,1,1,3,3,4,86208
2,3,512,512,1,1,3,3,4,165536
4,3,512,512,1,1,3,3,4,317440
8,3,512,512,1,1,3,3,4,625504
16,3,512,512,1,1,3,3,4,1.24576e+06
32,3,512,512,1,1,3,3,4,2.47354e+06
64,3,512,512,1,1,3,3,4,4.94384e+06
128,3,512,512,1,1,3,3,4,9.87085e+06
1,3,512,512,1,1,3,3,8,109856
2,3,512,512,1,1,3,3,8,208416
4,3,512,512,1,1,3,3,8,406752
8,3,512,512,1,1,3,3,8,798944
16,3,512,512,1,1,3,3,8,1.58995e+06
32,3,512,512,1,1,3,3,8,3.15814e+06
64,3,512,512,1,1,3,3,8,6.3167e+06
128,3,512,512,1,1,3,3,8,1.26324e+07
1,3,512,512,1,1,3,3,16,161536
2,3,512,512,1,1,3,3,16,310144
4,3,512,512,1,1,3,3,16,609856
8,3,512,512,1,1,3,3,16,1.20675e+06
16,3,512,512,1,1,3,3,16,2.40074e+06
32,3,512,512,1,1,3,3,16,4.78022e+06
64,3,512,512,1,1,3,3,16,9.55501e+06
128,3,512,512,1,1,3,3,16,1.9085e+07
