N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,512,512,1,1,3,3,1,50368
1,2,512,512,1,1,3,3,1,58080
1,3,512,512,1,1,3,3,1,92256
1,4,512,512,1,1,3,3,1,100672
1,8,512,512,1,1,3,3,1,183392
1,16,512,512,1,1,3,3,1,345664
1,32,512,512,1,1,3,3,1,676320
1,64,512,512,1,1,3,3,1,1.33776e+06
1,128,512,512,1,1,3,3,1,2.67085e+06
1,1,512,512,1,1,3,3,2,59552
1,2,512,512,1,1,3,3,2,71616
1,3,512,512,1,1,3,3,2,114912
1,4,512,512,1,1,3,3,2,127712
1,8,512,512,1,1,3,3,2,235392
1,16,512,512,1,1,3,3,2,446560
1,32,512,512,1,1,3,3,2,875776
1,64,512,512,1,1,3,3,2,1.72522e+06
1,128,512,512,1,1,3,3,2,3.44179e+06
1,1,512,512,1,1,3,3,4,76896
1,2,512,512,1,1,3,3,4,97344
1,3,512,512,1,1,3,3,4,158496
1,4,512,512,1,1,3,3,4,181216
1,8,512,512,1,1,3,3,4,339040
1,16,512,512,1,1,3,3,4,653280
1,32,512,512,1,1,3,3,4,1.28381e+06
1,64,512,512,1,1,3,3,4,2.55018e+06
1,128,512,512,1,1,3,3,4,5.07942e+06
1,1,512,512,1,1,3,3,8,117024
1,2,512,512,1,1,3,3,8,149152
1,3,512,512,1,1,3,3,8,245568
1,4,512,512,1,1,3,3,8,286432
1,8,512,512,1,1,3,3,8,547680
1,16,512,512,1,1,3,3,8,1.06867e+06
1,32,512,512,1,1,3,3,8,2.12211e+06
1,64,512,512,1,1,3,3,8,4.22128e+06
1,128,512,512,1,1,3,3,8,8.44179e+06
1,1,512,512,1,1,3,3,16,193856
1,2,512,512,1,1,3,3,16,255392
1,3,512,512,1,1,3,3,16,420416
1,4,512,512,1,1,3,3,16,495200
1,8,512,512,1,1,3,3,16,967424
1,16,512,512,1,1,3,3,16,1.91171e+06
1,32,512,512,1,1,3,3,16,3.80739e+06
1,64,512,512,1,1,3,3,16,7.60371e+06
1,128,512,512,1,1,3,3,16,1.52004e+07
