N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,92320
1,3,512,512,1,2,3,3,1,174624
1,3,512,512,1,4,3,3,1,335488
1,3,512,512,1,8,3,3,1,660736
1,3,512,512,1,16,3,3,1,1.30429e+06
1,3,512,512,1,32,3,3,1,2.59024e+06
1,3,512,512,1,64,3,3,1,5.1575e+06
1,3,512,512,1,128,3,3,1,1.02981e+07
1,3,512,512,1,1,3,3,2,114656
1,3,512,512,1,2,3,3,2,218368
1,3,512,512,1,4,3,3,2,421344
1,3,512,512,1,8,3,3,2,831392
1,3,512,512,1,16,3,3,2,1.6449e+06
1,3,512,512,1,32,3,3,2,3.26979e+06
1,3,512,512,1,64,3,3,2,6.51622e+06
1,3,512,512,1,128,3,3,2,1.30137e+07
1,3,512,512,1,1,3,3,4,158976
1,3,512,512,1,2,3,3,4,305280
1,3,512,512,1,4,3,3,4,593120
1,3,512,512,1,8,3,3,4,1.17299e+06
1,3,512,512,1,16,3,3,4,2.32915e+06
1,3,512,512,1,32,3,3,4,4.63696e+06
1,3,512,512,1,64,3,3,4,9.24378e+06
1,3,512,512,1,128,3,3,4,1.84698e+07
1,3,512,512,1,1,3,3,8,245600
1,3,512,512,1,2,3,3,8,476640
1,3,512,512,1,4,3,3,8,935264
1,3,512,512,1,8,3,3,8,1.85206e+06
1,3,512,512,1,16,3,3,8,3.68624e+06
1,3,512,512,1,32,3,3,8,7.34387e+06
1,3,512,512,1,64,3,3,8,1.4658e+07
1,3,512,512,1,128,3,3,8,2.92944e+07
1,3,512,512,1,1,3,3,16,420352
1,3,512,512,1,2,3,3,16,817280
1,3,512,512,1,4,3,3,16,1.61434e+06
1,3,512,512,1,8,3,3,16,3.20346e+06
1,3,512,512,1,16,3,3,16,6.38448e+06
1,3,512,512,1,32,3,3,16,1.27296e+07
1,3,512,512,1,64,3,3,16,2.54221e+07
1,3,512,512,1,128,3,3,16,5.07997e+07
