N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,92192
1,3,512,512,2,1,5,5,1,122848
1,3,512,512,3,1,7,7,1,156992
1,3,512,512,4,1,9,9,1,196640
1,3,512,512,5,1,11,11,1,263456
1,3,512,512,6,1,13,13,1,306528
1,3,512,512,7,1,15,15,1,372096
1,3,512,512,8,1,17,17,1,435648
1,3,512,512,1,1,3,3,2,114912
1,3,512,512,2,1,5,5,2,174560
1,3,512,512,3,1,7,7,2,240832
1,3,512,512,4,1,9,9,2,323712
1,3,512,512,5,1,11,11,2,438592
1,3,512,512,6,1,13,13,2,523584
1,3,512,512,7,1,15,15,2,651104
1,3,512,512,8,1,17,17,2,776192
1,3,512,512,1,1,3,3,4,158720
1,3,512,512,2,1,5,5,4,276096
1,3,512,512,3,1,7,7,4,408480
1,3,512,512,4,1,9,9,4,572640
1,3,512,512,5,1,11,11,4,784320
1,3,512,512,6,1,13,13,4,952800
1,3,512,512,7,1,15,15,4,1.21286e+06
1,3,512,512,8,1,17,17,4,1.46682e+06
1,3,512,512,1,1,3,3,8,246208
1,3,512,512,2,1,5,5,8,479264
1,3,512,512,3,1,7,7,8,741024
1,3,512,512,4,1,9,9,8,1.07395e+06
1,3,512,512,5,1,11,11,8,1.48854e+06
1,3,512,512,6,1,13,13,8,1.82806e+06
1,3,512,512,7,1,15,15,8,2.36096e+06
1,3,512,512,8,1,17,17,8,2.86982e+06
1,3,512,512,1,1,3,3,16,420416
1,3,512,512,2,1,5,5,16,883072
1,3,512,512,3,1,7,7,16,1.41117e+06
1,3,512,512,4,1,9,9,16,2.08566e+06
1,3,512,512,5,1,11,11,16,2.90688e+06
1,3,512,512,6,1,13,13,16,3.58861e+06
1,3,512,512,7,1,15,15,16,4.65888e+06
1,3,512,512,8,1,17,17,16,5.69325e+06
