N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,7072
1,3,64,64,1,1,3,3,1,7264
1,3,128,128,1,1,3,3,1,8608
1,3,256,256,1,1,3,3,1,26368
1,3,512,512,1,1,3,3,1,92352
1,3,1024,1024,1,1,3,3,1,355072
1,3,2048,2048,1,1,3,3,1,1.38442e+06
1,3,4096,4096,1,1,3,3,1,5.50688e+06
1,3,32,32,1,1,3,3,2,8192
1,3,64,64,1,1,3,3,2,8672
1,3,128,128,1,1,3,3,2,10240
1,3,256,256,1,1,3,3,2,32480
1,3,512,512,1,1,3,3,2,114720
1,3,1024,1024,1,1,3,3,2,441472
1,3,2048,2048,1,1,3,3,2,1.73674e+06
1,3,4096,4096,1,1,3,3,2,6.9128e+06
1,3,32,32,1,1,3,3,4,10656
1,3,64,64,1,1,3,3,4,11136
1,3,128,128,1,1,3,3,4,13536
1,3,256,256,1,1,3,3,4,45216
1,3,512,512,1,1,3,3,4,158080
1,3,1024,1024,1,1,3,3,4,612896
1,3,2048,2048,1,1,3,3,4,2.41914e+06
1,3,4096,4096,1,1,3,3,4,9.64112e+06
1,3,32,32,1,1,3,3,8,15776
1,3,64,64,1,1,3,3,8,16064
1,3,128,128,1,1,3,3,8,20192
1,3,256,256,1,1,3,3,8,70528
1,3,512,512,1,1,3,3,8,245760
1,3,1024,1024,1,1,3,3,8,953408
1,3,2048,2048,1,1,3,3,8,3.77802e+06
1,3,4096,4096,1,1,3,3,8,1.51067e+07
1,3,32,32,1,1,3,3,16,25888
1,3,64,64,1,1,3,3,16,26240
1,3,128,128,1,1,3,3,16,33888
1,3,256,256,1,1,3,3,16,121120
1,3,512,512,1,1,3,3,16,420320
1,3,1024,1024,1,1,3,3,16,1.6327e+06
1,3,2048,2048,1,1,3,3,16,6.47571e+06
1,3,4096,4096,1,1,3,3,16,2.58718e+07
