N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 116.599
1,48,55,55,2,256,5,5,1, 55.7712
1,256,27,27,1,384,3,3,1, 76.608
1,192,13,13,1,384,3,3,1, 45.2494
1,192,13,13,1,256,3,3,1, 38.0854
1,3,224,224,5,96,11,11,2, 118.243
1,48,55,55,2,256,5,5,2, 57.1152
1,256,27,27,1,384,3,3,2, 82.4279
1,192,13,13,1,384,3,3,2, 47.9129
1,192,13,13,1,256,3,3,2, 39.5336
1,3,224,224,5,96,11,11,4, 143.843
1,48,55,55,2,256,5,5,4, 79.9912
1,256,27,27,1,384,3,3,4, 99.855
1,192,13,13,1,384,3,3,4, 57.3753
1,192,13,13,1,256,3,3,4, 46.2332
1,3,224,224,5,96,11,11,8, 267.368
1,48,55,55,2,256,5,5,8, 142.996
1,256,27,27,1,384,3,3,8, 182.288
1,192,13,13,1,384,3,3,8, 120.891
1,192,13,13,1,256,3,3,8, 89.2072
1,3,224,224,5,96,11,11,16, 520.829
1,48,55,55,2,256,5,5,16, 203.67
1,256,27,27,1,384,3,3,16, 259.116
1,192,13,13,1,384,3,3,16, 122.883
1,192,13,13,1,256,3,3,16, 95.2667
