N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,512,512,1,1,3,3,1, 36.0592
2,3,512,512,1,1,3,3,1, 76.3364
4,3,512,512,1,1,3,3,1, 144.873
8,3,512,512,1,1,3,3,1, 282.216
16,3,512,512,1,1,3,3,1, 557.685
32,3,512,512,1,1,3,3,1, 1108.21
64,3,512,512,1,1,3,3,1, 1957.93
128,3,512,512,1,1,3,3,1, 3418.72
1,3,512,512,1,1,3,3,2, 32.8374
2,3,512,512,1,1,3,3,2, 58.6417
4,3,512,512,1,1,3,3,2, 111.442
8,3,512,512,1,1,3,3,2, 213.536
16,3,512,512,1,1,3,3,2, 419.918
32,3,512,512,1,1,3,3,2, 842.561
64,3,512,512,1,1,3,3,2, 1698.87
128,3,512,512,1,1,3,3,2, 3418.55
1,3,512,512,1,1,3,3,4, 40.192
2,3,512,512,1,1,3,3,4, 69.4795
4,3,512,512,1,1,3,3,4, 132.185
8,3,512,512,1,1,3,3,4, 258.638
16,3,512,512,1,1,3,3,4, 506.3
32,3,512,512,1,1,3,3,4, 1028.36
64,3,512,512,1,1,3,3,4, 2062.13
128,3,512,512,1,1,3,3,4, 4233.81
1,3,512,512,1,1,3,3,8, 72.1641
2,3,512,512,1,1,3,3,8, 135.712
4,3,512,512,1,1,3,3,8, 262.529
8,3,512,512,1,1,3,3,8, 515.104
16,3,512,512,1,1,3,3,8, 983.293
32,3,512,512,1,1,3,3,8, 1971.13
64,3,512,512,1,1,3,3,8, 4016.44
128,3,512,512,1,1,3,3,8, 8038.28
1,3,512,512,1,1,3,3,16, 129.493
2,3,512,512,1,1,3,3,16, 247.21
4,3,512,512,1,1,3,3,16, 484.421
8,3,512,512,1,1,3,3,16, 962.406
16,3,512,512,1,1,3,3,16, 1915.87
32,3,512,512,1,1,3,3,16, 3894.71
64,3,512,512,1,1,3,3,16, 7777.63
128,3,512,512,1,1,3,3,16, 15562.2
