N,C,H,W,pad,fK,fH,fW,Rank,us
1,1,512,512,1,1,3,3,1, 11.7876
1,2,512,512,1,1,3,3,1, 18.722
1,3,512,512,1,1,3,3,1, 25.6456
1,4,512,512,1,1,3,3,1, 32.7319
1,8,512,512,1,1,3,3,1, 78.2461
1,16,512,512,1,1,3,3,1, 153.125
1,32,512,512,1,1,3,3,1, 393.327
1,64,512,512,1,1,3,3,1, 755.053
1,128,512,512,1,1,3,3,1, 1482.81
1,1,512,512,1,1,3,3,2, 12.1144
1,2,512,512,1,1,3,3,2, 19.1319
1,3,512,512,1,1,3,3,2, 26.2693
1,4,512,512,1,1,3,3,2, 33.5871
1,8,512,512,1,1,3,3,2, 78.4191
1,16,512,512,1,1,3,3,2, 153.115
1,32,512,512,1,1,3,3,2, 367.792
1,64,512,512,1,1,3,3,2, 699.868
1,128,512,512,1,1,3,3,2, 1380.77
1,1,512,512,1,1,3,3,4, 15.4274
1,2,512,512,1,1,3,3,4, 25.2562
1,3,512,512,1,1,3,3,4, 35.1142
1,4,512,512,1,1,3,3,4, 45.1132
1,8,512,512,1,1,3,3,4, 91.4465
1,16,512,512,1,1,3,3,4, 177.288
1,32,512,512,1,1,3,3,4, 460.745
1,64,512,512,1,1,3,3,4, 889.445
1,128,512,512,1,1,3,3,4, 1753.57
1,1,512,512,1,1,3,3,8, 26.9542
1,2,512,512,1,1,3,3,8, 48.2185
1,3,512,512,1,1,3,3,8, 69.5414
1,4,512,512,1,1,3,3,8, 89.2412
1,8,512,512,1,1,3,3,8, 173.104
1,16,512,512,1,1,3,3,8, 340.504
1,32,512,512,1,1,3,3,8, 942.287
1,64,512,512,1,1,3,3,8, 1867.66
1,128,512,512,1,1,3,3,8, 3721.77
1,1,512,512,1,1,3,3,16, 46.7329
1,2,512,512,1,1,3,3,16, 87.0141
1,3,512,512,1,1,3,3,16, 127.427
1,4,512,512,1,1,3,3,16, 167.902
1,8,512,512,1,1,3,3,16, 330.621
1,16,512,512,1,1,3,3,16, 654.363
1,32,512,512,1,1,3,3,16, 1808.24
1,64,512,512,1,1,3,3,16, 3651.5
1,128,512,512,1,1,3,3,16, 7281.93
