N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,512,512,1,1,3,3,1, 25.9146
1,3,512,512,1,2,3,3,1, 26.2775
1,3,512,512,1,4,3,3,1, 33.76
1,3,512,512,1,8,3,3,1, 36.8531
1,3,512,512,1,16,3,3,1, 56.5733
1,3,512,512,1,32,3,3,1, 127.328
1,3,512,512,1,64,3,3,1, 267.214
1,3,512,512,1,128,3,3,1, 604.372
1,3,512,512,1,1,3,3,2, 26.1726
1,3,512,512,1,2,3,3,2, 26.6049
1,3,512,512,1,4,3,3,2, 33.6545
1,3,512,512,1,8,3,3,2, 36.5896
1,3,512,512,1,16,3,3,2, 56.7986
1,3,512,512,1,32,3,3,2, 128.381
1,3,512,512,1,64,3,3,2, 272.308
1,3,512,512,1,128,3,3,2, 611.092
1,3,512,512,1,1,3,3,4, 34.6492
1,3,512,512,1,2,3,3,4, 34.9501
1,3,512,512,1,4,3,3,4, 39.6718
1,3,512,512,1,8,3,3,4, 42.1678
1,3,512,512,1,16,3,3,4, 56.0565
1,3,512,512,1,32,3,3,4, 126.467
1,3,512,512,1,64,3,3,4, 265.983
1,3,512,512,1,128,3,3,4, 602.267
1,3,512,512,1,1,3,3,8, 68.0722
1,3,512,512,1,2,3,3,8, 69.1561
1,3,512,512,1,4,3,3,8, 71.682
1,3,512,512,1,8,3,3,8, 75.9735
1,3,512,512,1,16,3,3,8, 84.3554
1,3,512,512,1,32,3,3,8, 105.43
1,3,512,512,1,64,3,3,8, 254.25
1,3,512,512,1,128,3,3,8, 589.381
1,3,512,512,1,1,3,3,16, 127.719
1,3,512,512,1,2,3,3,16, 129.874
1,3,512,512,1,4,3,3,16, 134.521
1,3,512,512,1,8,3,3,16, 142.971
1,3,512,512,1,16,3,3,16, 159.271
1,3,512,512,1,32,3,3,16, 195.022
1,3,512,512,1,64,3,3,16, 269.038
1,3,512,512,1,128,3,3,16, 429.738
