N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,512,512,1,1,3,3,1, 25.8894
1,3,512,512,2,1,5,5,1, 44.271
1,3,512,512,3,1,7,7,1, 76.4364
1,3,512,512,4,1,9,9,1, 106.91
1,3,512,512,5,1,11,11,1, 154.917
1,3,512,512,6,1,13,13,1, 201.485
1,3,512,512,7,1,15,15,1, 266.272
1,3,512,512,8,1,17,17,1, 341.187
1,3,512,512,1,1,3,3,2, 27.4049
1,3,512,512,2,1,5,5,2, 49.7968
1,3,512,512,3,1,7,7,2, 86.1481
1,3,512,512,4,1,9,9,2, 127.421
1,3,512,512,5,1,11,11,2, 181.221
1,3,512,512,6,1,13,13,2, 239.635
1,3,512,512,7,1,15,15,2, 314.119
1,3,512,512,8,1,17,17,2, 395.791
1,3,512,512,1,1,3,3,4, 35.4621
1,3,512,512,2,1,5,5,4, 73.6654
1,3,512,512,3,1,7,7,4, 134.254
1,3,512,512,4,1,9,9,4, 198.117
1,3,512,512,5,1,11,11,4, 283.248
1,3,512,512,6,1,13,13,4, 373.65
1,3,512,512,7,1,15,15,4, 495.116
1,3,512,512,8,1,17,17,4, 628.319
1,3,512,512,1,1,3,3,8, 70.6356
1,3,512,512,2,1,5,5,8, 175.863
1,3,512,512,3,1,7,7,8, 330.55
1,3,512,512,4,1,9,9,8, 529.301
1,3,512,512,5,1,11,11,8, 780.473
1,3,512,512,6,1,13,13,8, 1078.05
1,3,512,512,7,1,15,15,8, 1423.2
1,3,512,512,8,1,17,17,8, 1812.2
1,3,512,512,1,1,3,3,16, 127.387
1,3,512,512,2,1,5,5,16, 329.012
1,3,512,512,3,1,7,7,16, 630.873
1,3,512,512,4,1,9,9,16, 1033.2
1,3,512,512,5,1,11,11,16, 1534.15
1,3,512,512,6,1,13,13,16, 2116.79
1,3,512,512,7,1,15,15,16, 2808.67
1,3,512,512,8,1,17,17,16, 3707.07
