N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,32,32,1,1,3,3,1, 11.4757
1,3,64,64,1,1,3,3,1, 11.2524
1,3,128,128,1,1,3,3,1, 11.5765
1,3,256,256,1,1,3,3,1, 13.6701
1,3,512,512,1,1,3,3,1, 36.1437
1,3,1024,1024,1,1,3,3,1, 146.339
1,3,2048,2048,1,1,3,3,1, 570.36
1,3,4096,4096,1,1,3,3,1, 2246.07
1,3,32,32,1,1,3,3,2, 8.51472
1,3,64,64,1,1,3,3,2, 8.29957
1,3,128,128,1,1,3,3,2, 8.44391
1,3,256,256,1,1,3,3,2, 10.3129
1,3,512,512,1,1,3,3,2, 38.2237
1,3,1024,1024,1,1,3,3,2, 111.698
1,3,2048,2048,1,1,3,3,2, 431.698
1,3,4096,4096,1,1,3,3,2, 1760.81
1,3,32,32,1,1,3,3,4, 8.83813
1,3,64,64,1,1,3,3,4, 8.6897
1,3,128,128,1,1,3,3,4, 8.90417
1,3,256,256,1,1,3,3,4, 12.9491
1,3,512,512,1,1,3,3,4, 38.976
1,3,1024,1024,1,1,3,3,4, 133.997
1,3,2048,2048,1,1,3,3,4, 516.641
1,3,4096,4096,1,1,3,3,4, 2149.65
1,3,32,32,1,1,3,3,8, 9.51353
1,3,64,64,1,1,3,3,8, 9.36987
1,3,128,128,1,1,3,3,8, 10.1249
1,3,256,256,1,1,3,3,8, 22.0739
1,3,512,512,1,1,3,3,8, 69.5857
1,3,1024,1024,1,1,3,3,8, 255.951
1,3,2048,2048,1,1,3,3,8, 981.204
1,3,4096,4096,1,1,3,3,8, 3947.8
1,3,32,32,1,1,3,3,16, 12.4759
1,3,64,64,1,1,3,3,16, 12.416
1,3,128,128,1,1,3,3,16, 14.1617
1,3,256,256,1,1,3,3,16, 37.5129
1,3,512,512,1,1,3,3,16, 129.887
1,3,1024,1024,1,1,3,3,16, 485.269
1,3,2048,2048,1,1,3,3,16, 1918.24
1,3,4096,4096,1,1,3,3,16, 7857.02
