N,C,H,W,pad,fK,fH,fW,fRank,ns
1,16,32,32,1,16,3,3,1,11264
1,16,32,32,1,16,3,3,2,11168
1,16,32,32,1,16,3,3,4,11168
1,16,32,32,1,16,3,3,8,11104
1,16,32,32,1,16,3,3,16,10912
1,16,32,32,1,16,3,3,32,11136
1,16,32,32,1,16,3,3,64,11008
1,16,32,32,1,16,3,3,128,11040
1,3,32,32,1,1,3,3,1,8896
1,3,64,64,1,1,3,3,1,9280
1,3,128,128,1,1,3,3,1,16864
1,3,256,256,1,1,3,3,1,43648
1,3,512,512,1,1,3,3,1,137856
1,3,1024,1024,1,1,3,3,1,516032
1,3,2048,2048,1,1,3,3,1,2.02842e+06
1,3,4096,4096,1,1,3,3,1,8.07088e+06
1,3,512,512,1,1,3,3,1,137920
1,3,512,512,1,2,3,3,1,138240
1,3,512,512,1,4,3,3,1,138720
1,3,512,512,1,8,3,3,1,139872
1,3,512,512,1,16,3,3,1,142464
1,3,512,512,1,32,3,3,1,147168
1,3,512,512,1,64,3,3,1,282464
1,3,512,512,1,128,3,3,1,1.54435e+06
1,1,512,512,1,1,3,3,1,98464
1,2,512,512,1,1,3,3,1,118432
1,4,512,512,1,1,3,3,1,157728
1,8,512,512,1,1,3,3,1,255456
1,16,512,512,1,1,3,3,1,458240
1,32,512,512,1,1,3,3,1,774880
1,64,512,512,1,1,3,3,1,1.28554e+06
1,128,512,512,1,1,3,3,1,2.28944e+06
1,3,512,512,1,1,3,3,1,138080
1,3,512,512,1,1,5,5,1,458688
1,3,512,512,1,1,7,7,1,860864
1,3,512,512,1,1,9,9,1,1.38397e+06
1,3,512,512,1,1,11,11,1,2.04205e+06
1,3,512,512,1,1,13,13,1,2.80042e+06
1,3,512,512,1,1,15,15,1,3.69219e+06
1,3,512,512,1,1,17,17,1,4.6824e+06
1,1,32,32,1,1,3,3,1,8736
2,1,32,32,1,1,3,3,1,9152
4,1,32,32,1,1,3,3,1,11136
8,1,32,32,1,1,3,3,1,12448
16,1,32,32,1,1,3,3,1,13120
32,1,32,32,1,1,3,3,1,55872
64,1,32,32,1,1,3,3,1,101952
128,1,32,32,1,1,3,3,1,53056
