N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,32,32,1,1,3,3,1,8960
2,2,64,64,1,2,3,3,1,15616
4,4,128,128,1,4,3,3,1,49280
8,8,256,256,1,8,3,3,1,499072
16,16,512,512,1,16,3,3,1,7.21107e+06
1,1,32,32,1,1,3,3,2,8864
2,2,64,64,1,2,3,3,2,15520
4,4,128,128,1,4,3,3,2,49248
8,8,256,256,1,8,3,3,2,498592
16,16,512,512,1,16,3,3,2,7.21165e+06
1,1,32,32,1,1,3,3,4,8960
2,2,64,64,1,2,3,3,4,15616
4,4,128,128,1,4,3,3,4,49216
8,8,256,256,1,8,3,3,4,496064
16,16,512,512,1,16,3,3,4,7.2113e+06
1,1,32,32,1,1,3,3,8,8896
2,2,64,64,1,2,3,3,8,15200
4,4,128,128,1,4,3,3,8,49312
8,8,256,256,1,8,3,3,8,496832
16,16,512,512,1,16,3,3,8,7.2151e+06
1,1,32,32,1,1,3,3,16,8992
2,2,64,64,1,2,3,3,16,15616
4,4,128,128,1,4,3,3,16,49120
8,8,256,256,1,8,3,3,16,497952
16,16,512,512,1,16,3,3,16,7.20982e+06
