N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,8928
2,3,32,32,1,1,3,3,1,9120
4,3,32,32,1,1,3,3,1,13408
8,3,32,32,1,1,3,3,1,15456
16,3,32,32,1,1,3,3,1,16640
32,3,32,32,1,1,3,3,1,55776
64,3,32,32,1,1,3,3,1,102208
128,3,32,32,1,1,3,3,1,73344
1,3,32,32,1,1,3,3,2,8928
2,3,32,32,1,1,3,3,2,9152
4,3,32,32,1,1,3,3,2,13472
8,3,32,32,1,1,3,3,2,15744
16,3,32,32,1,1,3,3,2,16832
32,3,32,32,1,1,3,3,2,55552
64,3,32,32,1,1,3,3,2,102048
128,3,32,32,1,1,3,3,2,73120
1,3,32,32,1,1,3,3,4,8960
2,3,32,32,1,1,3,3,4,9024
4,3,32,32,1,1,3,3,4,13344
8,3,32,32,1,1,3,3,4,15456
16,3,32,32,1,1,3,3,4,16512
32,3,32,32,1,1,3,3,4,56096
64,3,32,32,1,1,3,3,4,101664
128,3,32,32,1,1,3,3,4,73216
1,3,32,32,1,1,3,3,8,8608
2,3,32,32,1,1,3,3,8,9184
4,3,32,32,1,1,3,3,8,13152
8,3,32,32,1,1,3,3,8,15328
16,3,32,32,1,1,3,3,8,16512
32,3,32,32,1,1,3,3,8,56096
64,3,32,32,1,1,3,3,8,102016
128,3,32,32,1,1,3,3,8,73120
1,3,32,32,1,1,3,3,16,8576
2,3,32,32,1,1,3,3,16,9120
4,3,32,32,1,1,3,3,16,12928
8,3,32,32,1,1,3,3,16,15584
16,3,32,32,1,1,3,3,16,16704
32,3,32,32,1,1,3,3,16,55296
64,3,32,32,1,1,3,3,16,101696
128,3,32,32,1,1,3,3,16,73184
