N,C,H,W,pad,fK,fH,fW,fRank,ns
1,1,32,32,1,1,3,3,1,8928
1,2,32,32,1,1,3,3,1,9056
1,3,32,32,1,1,3,3,1,8992
1,4,32,32,1,1,3,3,1,8800
1,8,32,32,1,1,3,3,1,8960
1,16,32,32,1,1,3,3,1,11008
1,32,32,32,1,1,3,3,1,14784
1,64,32,32,1,1,3,3,1,21920
1,128,32,32,1,1,3,3,1,36256
1,1,32,32,1,1,3,3,2,8800
1,2,32,32,1,1,3,3,2,8992
1,3,32,32,1,1,3,3,2,9088
1,4,32,32,1,1,3,3,2,8960
1,8,32,32,1,1,3,3,2,9280
1,16,32,32,1,1,3,3,2,10976
1,32,32,32,1,1,3,3,2,14368
1,64,32,32,1,1,3,3,2,21856
1,128,32,32,1,1,3,3,2,36544
1,1,32,32,1,1,3,3,4,8928
1,2,32,32,1,1,3,3,4,8928
1,3,32,32,1,1,3,3,4,8768
1,4,32,32,1,1,3,3,4,8832
1,8,32,32,1,1,3,3,4,8992
1,16,32,32,1,1,3,3,4,11008
1,32,32,32,1,1,3,3,4,14752
1,64,32,32,1,1,3,3,4,21984
1,128,32,32,1,1,3,3,4,36320
1,1,32,32,1,1,3,3,8,8832
1,2,32,32,1,1,3,3,8,8800
1,3,32,32,1,1,3,3,8,8896
1,4,32,32,1,1,3,3,8,8832
1,8,32,32,1,1,3,3,8,9408
1,16,32,32,1,1,3,3,8,10848
1,32,32,32,1,1,3,3,8,14784
1,64,32,32,1,1,3,3,8,22048
1,128,32,32,1,1,3,3,8,36704
1,1,32,32,1,1,3,3,16,8896
1,2,32,32,1,1,3,3,16,8896
1,3,32,32,1,1,3,3,16,8896
1,4,32,32,1,1,3,3,16,8576
1,8,32,32,1,1,3,3,16,9088
1,16,32,32,1,1,3,3,16,11104
1,32,32,32,1,1,3,3,16,14880
1,64,32,32,1,1,3,3,16,22016
1,128,32,32,1,1,3,3,16,36800
