N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,0
1,3,32,32,1,2,3,3,1,0
1,3,32,32,1,4,3,3,1,0
1,3,32,32,1,8,3,3,1,0
1,3,32,32,1,16,3,3,1,0
1,3,32,32,1,32,3,3,1,0
1,3,32,32,1,64,3,3,1,0
1,3,32,32,1,128,3,3,1,0
1,3,32,32,1,1,3,3,2,0
1,3,32,32,1,2,3,3,2,0
1,3,32,32,1,4,3,3,2,0
1,3,32,32,1,8,3,3,2,0
1,3,32,32,1,16,3,3,2,0
1,3,32,32,1,32,3,3,2,0
1,3,32,32,1,64,3,3,2,0
1,3,32,32,1,128,3,3,2,0
1,3,32,32,1,1,3,3,4,0
1,3,32,32,1,2,3,3,4,0
1,3,32,32,1,4,3,3,4,0
1,3,32,32,1,8,3,3,4,0
1,3,32,32,1,16,3,3,4,0
1,3,32,32,1,32,3,3,4,0
1,3,32,32,1,64,3,3,4,0
1,3,32,32,1,128,3,3,4,0
1,3,32,32,1,1,3,3,8,0
1,3,32,32,1,2,3,3,8,0
1,3,32,32,1,4,3,3,8,0
1,3,32,32,1,8,3,3,8,0
1,3,32,32,1,16,3,3,8,0
1,3,32,32,1,32,3,3,8,0
1,3,32,32,1,64,3,3,8,0
1,3,32,32,1,128,3,3,8,0
1,3,32,32,1,1,3,3,16,0
1,3,32,32,1,2,3,3,16,0
1,3,32,32,1,4,3,3,16,0
1,3,32,32,1,8,3,3,16,0
1,3,32,32,1,16,3,3,16,0
1,3,32,32,1,32,3,3,16,0
1,3,32,32,1,64,3,3,16,0
1,3,32,32,1,128,3,3,16,0
