N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,512,512,1,1,3,3,1,0
1,3,512,512,2,1,5,5,1,0
1,3,512,512,3,1,7,7,1,0
1,3,512,512,4,1,9,9,1,0
1,3,512,512,5,1,11,11,1,0
1,3,512,512,6,1,13,13,1,0
1,3,512,512,7,1,15,15,1,0
1,3,512,512,8,1,17,17,1,0
1,3,512,512,1,1,3,3,2,0
1,3,512,512,2,1,5,5,2,0
1,3,512,512,3,1,7,7,2,0
1,3,512,512,4,1,9,9,2,0
1,3,512,512,5,1,11,11,2,0
1,3,512,512,6,1,13,13,2,0
1,3,512,512,7,1,15,15,2,0
1,3,512,512,8,1,17,17,2,0
1,3,512,512,1,1,3,3,4,0
1,3,512,512,2,1,5,5,4,0
1,3,512,512,3,1,7,7,4,0
1,3,512,512,4,1,9,9,4,0
1,3,512,512,5,1,11,11,4,0
1,3,512,512,6,1,13,13,4,0
1,3,512,512,7,1,15,15,4,0
1,3,512,512,8,1,17,17,4,0
1,3,512,512,1,1,3,3,8,0
1,3,512,512,2,1,5,5,8,0
1,3,512,512,3,1,7,7,8,0
1,3,512,512,4,1,9,9,8,0
1,3,512,512,5,1,11,11,8,0
1,3,512,512,6,1,13,13,8,0
1,3,512,512,7,1,15,15,8,0
1,3,512,512,8,1,17,17,8,0
1,3,512,512,1,1,3,3,16,0
1,3,512,512,2,1,5,5,16,0
1,3,512,512,3,1,7,7,16,0
1,3,512,512,4,1,9,9,16,0
1,3,512,512,5,1,11,11,16,0
1,3,512,512,6,1,13,13,16,0
1,3,512,512,7,1,15,15,16,0
1,3,512,512,8,1,17,17,16,0
