N,C,H,W,pad,fK,fH,fW,fRank,ns
1,3,32,32,1,1,3,3,1,9056
1,3,64,64,1,1,3,3,1,8704
1,3,128,128,1,1,3,3,1,16736
1,3,256,256,1,1,3,3,1,43840
1,3,512,512,1,1,3,3,1,137120
1,3,1024,1024,1,1,3,3,1,513728
1,3,2048,2048,1,1,3,3,1,2.01696e+06
1,3,4096,4096,1,1,3,3,1,8.06208e+06
1,3,32,32,1,1,3,3,2,8928
1,3,64,64,1,1,3,3,2,8832
1,3,128,128,1,1,3,3,2,16640
1,3,256,256,1,1,3,3,2,43712
1,3,512,512,1,1,3,3,2,136896
1,3,1024,1024,1,1,3,3,2,513248
1,3,2048,2048,1,1,3,3,2,2.0167e+06
1,3,4096,4096,1,1,3,3,2,8.03162e+06
1,3,32,32,1,1,3,3,4,8416
1,3,64,64,1,1,3,3,4,9184
1,3,128,128,1,1,3,3,4,16768
1,3,256,256,1,1,3,3,4,43232
1,3,512,512,1,1,3,3,4,137152
1,3,1024,1024,1,1,3,3,4,513376
1,3,2048,2048,1,1,3,3,4,2.01702e+06
1,3,4096,4096,1,1,3,3,4,8.06685e+06
1,3,32,32,1,1,3,3,8,8832
1,3,64,64,1,1,3,3,8,8992
1,3,128,128,1,1,3,3,8,16384
1,3,256,256,1,1,3,3,8,43712
1,3,512,512,1,1,3,3,8,136864
1,3,1024,1024,1,1,3,3,8,513344
1,3,2048,2048,1,1,3,3,8,2.01894e+06
1,3,4096,4096,1,1,3,3,8,8.03002e+06
1,3,32,32,1,1,3,3,16,8928
1,3,64,64,1,1,3,3,16,9152
1,3,128,128,1,1,3,3,16,16224
1,3,256,256,1,1,3,3,16,43520
1,3,512,512,1,1,3,3,16,137344
1,3,1024,1024,1,1,3,3,16,514304
1,3,2048,2048,1,1,3,3,16,2.01606e+06
1,3,4096,4096,1,1,3,3,16,8.03043e+06
