N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 2175.61
1,48,55,55,2,256,5,5,1, 84.271
1,256,27,27,1,384,3,3,1, 42.4354
1,192,13,13,1,384,3,3,1, 29.2099
1,192,13,13,1,256,3,3,1, 27.0264
1,3,224,224,5,96,11,11,2, 2023.23
1,48,55,55,2,256,5,5,2, 87.7644
1,256,27,27,1,384,3,3,2, 38.641
1,192,13,13,1,384,3,3,2, 22.5702
1,192,13,13,1,256,3,3,2, 20.5542
1,3,224,224,5,96,11,11,4, 1888.64
1,48,55,55,2,256,5,5,4, 125.985
1,256,27,27,1,384,3,3,4, 74.4817
1,192,13,13,1,384,3,3,4, 24.7619
1,192,13,13,1,256,3,3,4, 22.257
1,3,224,224,5,96,11,11,8, 2963.26
1,48,55,55,2,256,5,5,8, 247.267
1,256,27,27,1,384,3,3,8, 133.194
1,192,13,13,1,384,3,3,8, 36.3411
1,192,13,13,1,256,3,3,8, 31.2088
1,3,224,224,5,96,11,11,16, 7053.36
1,48,55,55,2,256,5,5,16, 612.735
1,256,27,27,1,384,3,3,16, 310.168
1,192,13,13,1,384,3,3,16, 100.257
1,192,13,13,1,256,3,3,16, 80.7292
