N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 108.325
1,48,55,55,2,256,5,5,1, 71.3368
1,256,27,27,1,384,3,3,1, 42.5484
1,192,13,13,1,384,3,3,1, 26.4184
1,192,13,13,1,256,3,3,1, 24.9838
1,3,224,224,5,96,11,11,2, 219.403
1,48,55,55,2,256,5,5,2, 94.3299
1,256,27,27,1,384,3,3,2, 53.4175
1,192,13,13,1,384,3,3,2, 27.2817
1,192,13,13,1,256,3,3,2, 25.4652
1,3,224,224,5,96,11,11,4, 513.952
1,48,55,55,2,256,5,5,4, 167.216
1,256,27,27,1,384,3,3,4, 98.4266
1,192,13,13,1,384,3,3,4, 31.3178
1,192,13,13,1,256,3,3,4, 28.8926
1,3,224,224,5,96,11,11,8, 1968
1,48,55,55,2,256,5,5,8, 305.942
1,256,27,27,1,384,3,3,8, 166.545
1,192,13,13,1,384,3,3,8, 44.4984
1,192,13,13,1,256,3,3,8, 39.471
1,3,224,224,5,96,11,11,16, 3268.18
1,48,55,55,2,256,5,5,16, 381.708
1,256,27,27,1,384,3,3,16, 176.304
1,192,13,13,1,384,3,3,16, 45.1173
1,192,13,13,1,256,3,3,16, 40.0449
