N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 130.064
1,48,55,55,2,256,5,5,1, 154.616
1,256,27,27,1,384,3,3,1, 501.711
1,192,13,13,1,384,3,3,1, 382.935
1,192,13,13,1,256,3,3,1, 373.973
1,3,224,224,5,96,11,11,2, 128.281
1,48,55,55,2,256,5,5,2, 144.479
1,256,27,27,1,384,3,3,2, 463.101
1,192,13,13,1,384,3,3,2, 349.595
1,192,13,13,1,256,3,3,2, 345.178
1,3,224,224,5,96,11,11,4, 181.7
1,48,55,55,2,256,5,5,4, 220.647
1,256,27,27,1,384,3,3,4, 525.164
1,192,13,13,1,384,3,3,4, 397.365
1,192,13,13,1,256,3,3,4, 389.325
1,3,224,224,5,96,11,11,8, 450.865
1,48,55,55,2,256,5,5,8, 322.408
1,256,27,27,1,384,3,3,8, 551.403
1,192,13,13,1,384,3,3,8, 372.978
1,192,13,13,1,256,3,3,8, 361.836
1,3,224,224,5,96,11,11,16, 657.168
1,48,55,55,2,256,5,5,16, 394.783
1,256,27,27,1,384,3,3,16, 780.346
1,192,13,13,1,384,3,3,16, 610.871
1,192,13,13,1,256,3,3,16, 589.769
