N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 157.663
1,48,55,55,2,256,5,5,1, 45.278
1,256,27,27,1,384,3,3,1, 92.4017
1,192,13,13,1,384,3,3,1, 58.9753
1,192,13,13,1,256,3,3,1, 57.0642
1,3,224,224,5,96,11,11,2, 172.533
1,48,55,55,2,256,5,5,2, 53.5374
1,256,27,27,1,384,3,3,2, 93.3202
1,192,13,13,1,384,3,3,2, 59.9272
1,192,13,13,1,256,3,3,2, 58.0289
1,3,224,224,5,96,11,11,4, 209.183
1,48,55,55,2,256,5,5,4, 73.5632
1,256,27,27,1,384,3,3,4, 110.732
1,192,13,13,1,384,3,3,4, 71.9415
1,192,13,13,1,256,3,3,4, 70.3251
1,3,224,224,5,96,11,11,8, 283.834
1,48,55,55,2,256,5,5,8, 118.978
1,256,27,27,1,384,3,3,8, 129.201
1,192,13,13,1,384,3,3,8, 85.0111
1,192,13,13,1,256,3,3,8, 83.36
1,3,224,224,5,96,11,11,16, 437.374
1,48,55,55,2,256,5,5,16, 215.734
1,256,27,27,1,384,3,3,16, 170.142
1,192,13,13,1,384,3,3,16, 112.946
1,192,13,13,1,256,3,3,16, 111.35
