N,C,H,W,pad,fK,fH,fW,Rank,us
1,3,224,224,5,96,11,11,1, 806.302
1,48,55,55,2,256,5,5,1, 85.9452
1,256,27,27,1,384,3,3,1, 70.2019
1,192,13,13,1,384,3,3,1, 25.0417
1,192,13,13,1,256,3,3,1, 22.7411
1,3,224,224,5,96,11,11,2, 885.74
1,48,55,55,2,256,5,5,2, 124.745
1,256,27,27,1,384,3,3,2, 66.2243
1,192,13,13,1,384,3,3,2, 21.0887
1,192,13,13,1,256,3,3,2, 19.9564
1,3,224,224,5,96,11,11,4, 1001.16
1,48,55,55,2,256,5,5,4, 202.126
1,256,27,27,1,384,3,3,4, 99.3906
1,192,13,13,1,384,3,3,4, 29.5632
1,192,13,13,1,256,3,3,4, 26.6009
1,3,224,224,5,96,11,11,8, 1422.58
1,48,55,55,2,256,5,5,8, 337.475
1,256,27,27,1,384,3,3,8, 134.768
1,192,13,13,1,384,3,3,8, 37.6368
1,192,13,13,1,256,3,3,8, 32.3377
1,3,224,224,5,96,11,11,16, 2271.28
1,48,55,55,2,256,5,5,16, 509.129
1,256,27,27,1,384,3,3,16, 265.711
1,192,13,13,1,384,3,3,16, 67.8414
1,192,13,13,1,256,3,3,16, 55.3961
